wikidata_id:ID(Venue),name,enwiki_title
Q990430,Kingdome,Kingdome
Q20372160,Fiserv Forum,Fiserv Forum
Q3495282,St. Louis Arena,St. Louis Arena
Q104857179,Playdium,
Q1048921,Nassau Veterans Memorial Coliseum,Nassau Coliseum
Q2435324,Lakewood Church Central Campus,Lakewood Church Central Campus
Q4909197,Bill Graham Civic Auditorium,Bill Graham Civic Auditorium
Q15262098,Chase Center,Chase Center
Q7603208,Toyota Coliseum,Toyota Coliseum
Q5021351,Calihan Hall,Calihan Hall
Q983870,Spectrum Center,Spectrum Center
Q737976,Bradley Center,Bradley Center
Q1092220,Cincinnati Gardens,Cincinnati Gardens
