:START_ID(Player),:END_ID(Coach)
Q924072,Q924072
Q924857,Q924857
Q925163,Q925163
Q926153,Q926153
Q926164,Q926164
Q926204,Q926204
Q926325,Q926325
Q926364,Q926364
Q930031,Q930031
Q930445,Q930445
Q930865,Q930865
Q932632,Q932632
Q932879,Q932879
Q933804,Q933804
Q936680,Q936680
Q938730,Q938730
Q939309,Q939309
Q939422,Q939422
Q940442,Q940442
Q942651,Q942651
Q943368,Q943368
Q948037,Q948037
Q948237,Q948237
Q950413,Q950413
Q955247,Q955247
Q958366,Q958366
Q958710,Q958710
Q961660,Q961660
Q962408,Q962408
Q963613,Q963613
Q964121,Q964121
Q964580,Q964580
Q964594,Q964594
Q964593,Q964593
Q964696,Q964696
Q967072,Q967072
Q968402,Q968402
Q969401,Q969401
Q970093,Q970093
Q970313,Q970313
Q970771,Q970771
Q971106,Q971106
Q971463,Q971463
Q971538,Q971538
Q972855,Q972855
Q972990,Q972990
Q973751,Q973751
Q975034,Q975034
Q975725,Q975725
Q982612,Q982612
Q1027716,Q1027716
Q1027929,Q1027929
Q1032471,Q1032471
Q1055229,Q1055229
Q1076942,Q1076942
Q1077437,Q1077437
Q1077691,Q1077691
Q1089188,Q1089188
Q1093489,Q1093489
Q1101154,Q1101154
Q1102109,Q1102109
Q1109900,Q1109900
Q1111167,Q1111167
Q1117654,Q1117654
Q1124553,Q1124553
Q1132528,Q1132528
Q1132658,Q1132658
Q1132676,Q1132676
Q1132778,Q1132778
Q1134048,Q1134048
Q3849539,Q3849539
Q3849564,Q3849564
Q3849577,Q3849577
Q3852258,Q3852258
Q3852415,Q3852415
Q3854066,Q3854066
Q3854321,Q3854321
Q3856181,Q3856181
Q3856917,Q3856917
Q3857357,Q3857357
Q3857362,Q3857362
Q3857364,Q3857364
Q3857391,Q3857391
Q3857412,Q3857412
Q3857437,Q3857437
Q3857459,Q3857459
Q3862090,Q3862090
Q3863037,Q3863037
Q3867448,Q3867448
Q3878433,Q3878433
Q3887091,Q3887091
Q3887746,Q3887746
Q3900801,Q3900801
Q3901333,Q3901333
Q3901344,Q3901344
Q3911157,Q3911157
Q3929794,Q3929794
Q3930624,Q3930624
Q3930640,Q3930640
Q3930645,Q3930645
Q3931725,Q3931725
Q3931734,Q3931734
Q3934007,Q3934007
Q3934736,Q3934736
Q3935002,Q3935002
Q3935041,Q3935041
Q3938234,Q3938234
Q3938404,Q3938404
Q3938465,Q3938465
Q3939904,Q3939904
Q3940266,Q3940266
Q3940992,Q3940992
Q3940996,Q3940996
Q3941231,Q3941231
Q3942304,Q3942304
Q3946370,Q3946370
Q3952866,Q3952866
Q3953576,Q3953576
Q3960167,Q3960167
Q3960170,Q3960170
Q3962469,Q3962469
Q3968117,Q3968117
Q3973346,Q3973346
Q3973381,Q3973381
Q3980341,Q3980341
Q3984739,Q3984739
Q3984809,Q3984809
Q3992239,Q3992239
Q3992472,Q3992472
Q3992482,Q3992482
Q3992498,Q3992498
Q3992501,Q3992501
Q3992526,Q3992526
Q3993198,Q3993198
Q3993237,Q3993237
Q4013029,Q4013029
Q4013035,Q4013035
Q4013256,Q4013256
Q4017829,Q4017829
Q4017850,Q4017850
Q4018269,Q4018269
Q4018592,Q4018592
Q4018614,Q4018614
Q4018618,Q4018618
Q4019569,Q4019569
Q4019746,Q4019746
Q4019758,Q4019758
Q4020208,Q4020208
Q4020225,Q4020225
Q4022896,Q4022896
Q4024141,Q4024141
Q4025934,Q4025934
Q4120452,Q4120452
Q4120761,Q4120761
Q4252863,Q4252863
Q4266611,Q4266611
Q4356763,Q4356763
Q4401184,Q4401184
Q4772615,Q4772615
Q2247995,Q2247995
Q2273491,Q2273491
Q2273690,Q2273690
Q2291089,Q2291089
Q2308556,Q2308556
Q2308568,Q2308568
Q2308671,Q2308671
Q2308814,Q2308814
Q2309877,Q2309877
Q2311290,Q2311290
Q2316073,Q2316073
Q2316224,Q2316224
Q2317014,Q2317014
Q2318726,Q2318726
Q2320891,Q2320891
Q2322285,Q2322285
Q2324380,Q2324380
Q2325022,Q2325022
Q2326029,Q2326029
Q1614388,Q1614388
Q1616709,Q1616709
Q1616737,Q1616737
Q1617065,Q1617065
Q1617178,Q1617178
Q1617237,Q1617237
Q1617777,Q1617777
Q1617862,Q1617862
Q1618149,Q1618149
Q1618739,Q1618739
Q1618767,Q1618767
Q1618785,Q1618785
Q1620080,Q1620080
Q1620628,Q1620628
Q1620780,Q1620780
Q1621417,Q1621417
Q1621440,Q1621440
Q1621478,Q1621478
Q1621669,Q1621669
Q1621683,Q1621683
Q1621720,Q1621720
Q1621778,Q1621778
Q1622164,Q1622164
Q1622629,Q1622629
Q1622762,Q1622762
Q1623135,Q1623135
Q1623147,Q1623147
Q1623168,Q1623168
Q1623295,Q1623295
Q1625585,Q1625585
Q1626464,Q1626464
Q1626478,Q1626478
Q1626604,Q1626604
Q1626605,Q1626605
Q1626844,Q1626844
Q1627029,Q1627029
Q1627284,Q1627284
Q1627361,Q1627361
Q1627427,Q1627427
Q1627788,Q1627788
Q1627840,Q1627840
Q1627976,Q1627976
Q1628310,Q1628310
Q1628889,Q1628889
Q1629769,Q1629769
Q1629949,Q1629949
Q1631637,Q1631637
Q1632186,Q1632186
Q1634182,Q1634182
Q1634810,Q1634810
Q1635488,Q1635488
Q1638747,Q1638747
Q1639693,Q1639693
Q1640546,Q1640546
Q1640832,Q1640832
Q1640979,Q1640979
Q1648070,Q1648070
Q1648767,Q1648767
Q1648778,Q1648778
Q1650846,Q1650846
Q1654072,Q1654072
Q1658960,Q1658960
Q1659574,Q1659574
Q1665679,Q1665679
Q1687804,Q1687804
Q1748215,Q1748215
Q1749594,Q1749594
Q1771117,Q1771117
Q1799513,Q1799513
Q1815125,Q1815125
Q1886445,Q1886445
Q1887670,Q1887670
Q1891397,Q1891397
Q1913679,Q1913679
Q1960818,Q1960818
Q2011732,Q2011732
Q2023534,Q2023534
Q2033175,Q2033175
Q2062631,Q2062631
Q2063085,Q2063085
Q2569684,Q2569684
Q2573187,Q2573187
Q2573224,Q2573224
Q2573604,Q2573604
Q2575239,Q2575239
Q2589648,Q2589648
Q2600870,Q2600870
Q2600980,Q2600980
Q2603466,Q2603466
Q2604182,Q2604182
Q2609359,Q2609359
Q2610277,Q2610277
Q2615252,Q2615252
Q2625050,Q2625050
Q2638257,Q2638257
Q2650732,Q2650732
Q2658522,Q2658522
Q2713164,Q2713164
Q2717226,Q2717226
Q2723533,Q2723533
Q2723793,Q2723793
Q2732041,Q2732041
Q2732920,Q2732920
Q2733180,Q2733180
Q2733201,Q2733201
Q2733498,Q2733498
Q2733760,Q2733760
Q2734309,Q2734309
Q2734324,Q2734324
Q2735161,Q2735161
Q2735542,Q2735542
Q2779315,Q2779315
Q2840336,Q2840336
Q2897012,Q2897012
Q2903260,Q2903260
Q2924590,Q2924590
Q2939051,Q2939051
Q2964717,Q2964717
Q472405,Q472405
Q504835,Q504835
Q505336,Q505336
Q505500,Q505500
Q510147,Q510147
Q513749,Q513749
Q514456,Q514456
Q516364,Q516364
Q519221,Q519221
Q519305,Q519305
Q520357,Q520357
Q520526,Q520526
Q521511,Q521511
Q523017,Q523017
Q523630,Q523630
Q525024,Q525024
Q526241,Q526241
Q527022,Q527022
Q532832,Q532832
Q534874,Q534874
Q538009,Q538009
Q539560,Q539560
Q542256,Q542256
Q542563,Q542563
Q543107,Q543107
Q547123,Q547123
Q547400,Q547400
Q548382,Q548382
Q549899,Q549899
Q553063,Q553063
Q553232,Q553232
Q553516,Q553516
Q554237,Q554237
Q555100,Q555100
Q555110,Q555110
Q555355,Q555355
Q557194,Q557194
Q557526,Q557526
Q557841,Q557841
Q558674,Q558674
Q561862,Q561862
Q562764,Q562764
Q572987,Q572987
Q573036,Q573036
Q576196,Q576196
Q578407,Q578407
Q580808,Q580808
Q581074,Q581074
Q581408,Q581408
Q581976,Q581976
Q583380,Q583380
Q586182,Q586182
Q586957,Q586957
Q590253,Q590253
Q594137,Q594137
Q598416,Q598416
Q598461,Q598461
Q608514,Q608514
Q608639,Q608639
Q616402,Q616402
Q862011,Q862011
Q2326870,Q2326870
Q2326977,Q2326977
Q2326997,Q2326997
Q2327023,Q2327023
Q2327074,Q2327074
Q2327143,Q2327143
Q2327168,Q2327168
Q2327180,Q2327180
Q2327355,Q2327355
Q2327855,Q2327855
Q2327919,Q2327919
Q2327974,Q2327974
Q2328645,Q2328645
Q2329080,Q2329080
Q2329453,Q2329453
Q2330106,Q2330106
Q2330320,Q2330320
Q2330509,Q2330509
Q2331415,Q2331415
Q2331753,Q2331753
Q2331770,Q2331770
Q2331791,Q2331791
Q2331870,Q2331870
Q2331907,Q2331907
Q2331957,Q2331957
Q2332130,Q2332130
Q2332151,Q2332151
Q2332240,Q2332240
Q2332272,Q2332272
Q2332758,Q2332758
Q2334056,Q2334056
Q2335790,Q2335790
Q2336889,Q2336889
Q2337198,Q2337198
Q2337476,Q2337476
Q2338196,Q2338196
Q2338212,Q2338212
Q2339032,Q2339032
Q2340309,Q2340309
Q2340949,Q2340949
Q2342369,Q2342369
Q2342516,Q2342516
Q2342717,Q2342717
Q2342812,Q2342812
Q2344013,Q2344013
Q2344573,Q2344573
Q2345237,Q2345237
Q2345365,Q2345365
Q2345383,Q2345383
Q2346231,Q2346231
Q2346518,Q2346518
Q2346944,Q2346944
Q2348203,Q2348203
Q2348633,Q2348633
Q2348679,Q2348679
Q2348890,Q2348890
Q2349875,Q2349875
Q2350303,Q2350303
Q2350312,Q2350312
Q2351523,Q2351523
Q2351747,Q2351747
Q2354921,Q2354921
Q2355201,Q2355201
Q2360324,Q2360324
Q2362843,Q2362843
Q2370493,Q2370493
Q2385023,Q2385023
Q2387113,Q2387113
Q2396423,Q2396423
Q2438533,Q2438533
Q2447626,Q2447626
Q2449958,Q2449958
Q2450307,Q2450307
Q2453176,Q2453176
Q2454488,Q2454488
Q2456047,Q2456047
Q2469598,Q2469598
Q2471705,Q2471705
Q2500189,Q2500189
Q2500405,Q2500405
Q2504822,Q2504822
Q2518209,Q2518209
Q2532704,Q2532704
Q2565934,Q2565934
Q2566442,Q2566442
Q2566498,Q2566498
Q2566650,Q2566650
Q2566731,Q2566731
Q2566735,Q2566735
Q2566860,Q2566860
Q2567039,Q2567039
Q2567386,Q2567386
Q2567451,Q2567451
Q2567459,Q2567459
Q2567550,Q2567550
Q2568175,Q2568175
Q2568302,Q2568302
Q2569207,Q2569207
Q616436,Q616436
Q627300,Q627300
Q628219,Q628219
Q628422,Q628422
Q628668,Q628668
Q628846,Q628846
Q634770,Q634770
Q637382,Q637382
Q641041,Q641041
Q645386,Q645386
Q646481,Q646481
Q647498,Q647498
Q647663,Q647663
Q648447,Q648447
Q650632,Q650632
Q657378,Q657378
Q657817,Q657817
Q658347,Q658347
Q659284,Q659284
Q660606,Q660606
Q662328,Q662328
Q671268,Q671268
Q676481,Q676481
Q680038,Q680038
Q683843,Q683843
Q685842,Q685842
Q686536,Q686536
Q705206,Q705206
Q706771,Q706771
Q708639,Q708639
Q708983,Q708983
Q710012,Q710012
Q711505,Q711505
Q714640,Q714640
Q716093,Q716093
Q717793,Q717793
Q719836,Q719836
Q721011,Q721011
Q723208,Q723208
Q1134403,Q1134403
Q1154068,Q1154068
Q1155161,Q1155161
Q1159084,Q1159084
Q1159115,Q1159115
Q1170394,Q1170394
Q1170408,Q1170408
Q1179612,Q1179612
Q1184377,Q1184377
Q1242197,Q1242197
Q1273409,Q1273409
Q1277115,Q1277115
Q1280005,Q1280005
Q1291124,Q1291124
Q1332856,Q1332856
Q1342300,Q1342300
Q1343136,Q1343136
Q1343292,Q1343292
Q1346751,Q1346751
Q1347527,Q1347527
Q1348252,Q1348252
Q1353111,Q1353111
Q1353620,Q1353620
Q1361081,Q1361081
Q1363177,Q1363177
Q1374718,Q1374718
Q1377226,Q1377226
Q1381221,Q1381221
Q1382444,Q1382444
Q1386659,Q1386659
Q1389137,Q1389137
Q1390766,Q1390766
Q1392830,Q1392830
Q1419688,Q1419688
Q1424170,Q1424170
Q1424495,Q1424495
Q1428911,Q1428911
Q1432596,Q1432596
Q1442329,Q1442329
Q1442393,Q1442393
Q1444934,Q1444934
Q1448496,Q1448496
Q1449882,Q1449882
Q1450542,Q1450542
Q1450899,Q1450899
Q1452898,Q1452898
Q1452899,Q1452899
Q1456855,Q1456855
Q1458187,Q1458187
Q1458255,Q1458255
Q1458282,Q1458282
Q1458294,Q1458294
Q1458344,Q1458344
Q1458383,Q1458383
Q1459540,Q1459540
Q1460251,Q1460251
Q1461043,Q1461043
Q1463338,Q1463338
Q1463357,Q1463357
Q1464679,Q1464679
Q2552896,Q2552896
Q2555675,Q2555675
Q2556060,Q2556060
Q2558817,Q2558817
Q2561192,Q2561192
Q2561603,Q2561603
Q2561896,Q2561896
Q2562137,Q2562137
Q2562179,Q2562179
Q2562208,Q2562208
Q2562915,Q2562915
Q2563053,Q2563053
Q2563549,Q2563549
Q2565049,Q2565049
Q2565189,Q2565189
Q3704260,Q3704260
Q3704266,Q3704266
Q3705499,Q3705499
Q3705847,Q3705847
Q3706938,Q3706938
Q3706937,Q3706937
Q3706951,Q3706951
Q3714604,Q3714604
Q3718833,Q3718833
Q3718838,Q3718838
Q3718844,Q3718844
Q3718875,Q3718875
Q3718872,Q3718872
Q3718945,Q3718945
Q3721229,Q3721229
Q3723697,Q3723697
Q3735456,Q3735456
Q3746815,Q3746815
Q3751848,Q3751848
Q3751911,Q3751911
Q3752612,Q3752612
Q3758474,Q3758474
Q3758473,Q3758473
Q3759415,Q3759415
Q3759438,Q3759438
Q3760442,Q3760442
Q3760542,Q3760542
Q3760568,Q3760568
Q3760573,Q3760573
Q3760865,Q3760865
Q3772728,Q3772728
Q3776411,Q3776411
Q3776426,Q3776426
Q3783430,Q3783430
Q3783515,Q3783515
Q3784924,Q3784924
Q3787269,Q3787269
Q3791955,Q3791955
Q3801797,Q3801797
Q3805550,Q3805550
Q3805566,Q3805566
Q3805653,Q3805653
Q3805667,Q3805667
Q3806958,Q3806958
Q3807775,Q3807775
Q3807784,Q3807784
Q3807984,Q3807984
Q3808017,Q3808017
Q3808020,Q3808020
Q3808040,Q3808040
Q3808305,Q3808305
Q3808328,Q3808328
Q3808332,Q3808332
Q3808362,Q3808362
Q3808371,Q3808371
Q3808382,Q3808382
Q3808408,Q3808408
Q3808413,Q3808413
Q3808606,Q3808606
Q3808643,Q3808643
Q3808645,Q3808645
Q3808661,Q3808661
Q3808666,Q3808666
Q3809053,Q3809053
Q3809470,Q3809470
Q3809501,Q3809501
Q3809519,Q3809519
Q3809520,Q3809520
Q3809548,Q3809548
Q3809636,Q3809636
Q3809733,Q3809733
Q3809737,Q3809737
Q3814327,Q3814327
Q3814335,Q3814335
Q3814433,Q3814433
Q3814516,Q3814516
Q3814628,Q3814628
Q3814636,Q3814636
Q3814637,Q3814637
Q3814814,Q3814814
Q3814840,Q3814840
Q3815277,Q3815277
Q3815292,Q3815292
Q3820599,Q3820599
Q3820613,Q3820613
Q3826619,Q3826619
Q3827112,Q3827112
Q3827132,Q3827132
Q3827154,Q3827154
Q3827176,Q3827176
Q3829390,Q3829390
Q3830259,Q3830259
Q3830275,Q3830275
Q3830796,Q3830796
Q3830948,Q3830948
Q3835001,Q3835001
Q3837069,Q3837069
Q3837892,Q3837892
Q3849433,Q3849433
Q6768132,Q6768132
Q6847779,Q6847779
Q6921642,Q6921642
Q6922982,Q6922982
Q6939389,Q6939389
Q6998620,Q6998620
Q6999272,Q6999272
Q7000617,Q7000617
Q7308238,Q7308238
Q7327914,Q7327914
Q3023991,Q3023991
Q7363452,Q7363452
Q3071971,Q3071971
Q3080241,Q3080241
Q3178740,Q3178740
Q3195694,Q3195694
Q3195758,Q3195758
Q7610525,Q7610525
Q3299734,Q3299734
Q3333435,Q3333435
Q3339779,Q3339779
Q3414516,Q3414516
Q3424767,Q3424767
Q3457178,Q3457178
Q3531294,Q3531294
Q3531765,Q3531765
Q3534528,Q3534528
Q3538607,Q3538607
Q3546387,Q3546387
Q3559659,Q3559659
Q3564981,Q3564981
Q3570801,Q3570801
Q7914062,Q7914062
Q3600322,Q3600322
Q3600320,Q3600320
Q3603075,Q3603075
Q3603091,Q3603091
Q3603094,Q3603094
Q3607479,Q3607479
Q3607477,Q3607477
Q3607506,Q3607506
Q3607520,Q3607520
Q3607550,Q3607550
Q3607773,Q3607773
Q3610467,Q3610467
Q3615422,Q3615422
Q3615441,Q3615441
Q8345270,Q8345270
Q8992149,Q8992149
Q4821393,Q4821393
Q4864784,Q4864784
Q4912879,Q4912879
Q4931791,Q4931791
Q4954288,Q4954288
Q5040542,Q5040542
Q5066238,Q5066238
Q5115492,Q5115492
Q5228882,Q5228882
Q5233672,Q5233672
Q5292227,Q5292227
Q5300318,Q5300318
Q5315988,Q5315988
Q5318021,Q5318021
Q5397323,Q5397323
Q5481840,Q5481840
Q5620638,Q5620638
Q1469007,Q1469007
Q1469693,Q1469693
Q1555321,Q1555321
Q1584499,Q1584499
Q1606675,Q1606675
Q1606745,Q1606745
Q1606788,Q1606788
Q1606800,Q1606800
Q1607188,Q1607188
Q1607214,Q1607214
Q1607305,Q1607305
Q1607728,Q1607728
Q1607746,Q1607746
Q1607997,Q1607997
Q1608041,Q1608041
Q1608677,Q1608677
Q1608798,Q1608798
Q1608885,Q1608885
Q1609283,Q1609283
Q1609451,Q1609451
Q1612357,Q1612357
Q1612746,Q1612746
Q1613303,Q1613303
Q1613358,Q1613358
Q6184485,Q6184485
Q6199952,Q6199952
Q3615455,Q3615455
Q3619183,Q3619183
Q3624026,Q3624026
Q3624252,Q3624252
Q3631310,Q3631310
Q3635069,Q3635069
Q3637883,Q3637883
Q3637933,Q3637933
Q3637939,Q3637939
Q3639987,Q3639987
Q3640044,Q3640044
Q3640054,Q3640054
Q3640058,Q3640058
Q3641241,Q3641241
Q3641286,Q3641286
Q3641291,Q3641291
Q3641303,Q3641303
Q3641311,Q3641311
Q3641309,Q3641309
Q3641347,Q3641347
Q3641357,Q3641357
Q3641404,Q3641404
Q3641418,Q3641418
Q3643499,Q3643499
Q3643656,Q3643656
Q3644272,Q3644272
Q3644462,Q3644462
Q3644461,Q3644461
Q3644479,Q3644479
Q3645471,Q3645471
Q3646218,Q3646218
Q3646294,Q3646294
Q3646336,Q3646336
Q3646337,Q3646337
Q3646793,Q3646793
Q3649985,Q3649985
Q3658790,Q3658790
Q3664090,Q3664090
Q3666350,Q3666350
Q3666408,Q3666408
Q3666602,Q3666602
Q3666657,Q3666657
Q3666689,Q3666689
Q3667274,Q3667274
Q3679800,Q3679800
Q3679814,Q3679814
Q3680421,Q3680421
Q3687045,Q3687045
Q3693510,Q3693510
Q3696461,Q3696461
Q3699432,Q3699432
Q3701390,Q3701390
Q3702067,Q3702067
Q3702839,Q3702839
Q3702836,Q3702836
Q3703034,Q3703034
Q3703054,Q3703054
