:START_ID(Player),:END_ID(Position)
Q81914429,Q212413
Q55433150,Q212413
Q3624030,Q212413
Q3640006,Q212413
Q3643656,Q212413
Q3646216,Q212413
Q3658790,Q212413
Q3701390,Q212413
Q3706937,Q212413
Q3725517,Q212413
Q3735442,Q212413
Q3772728,Q212413
Q3787395,Q212413
Q3805721,Q212413
Q3806280,Q212413
Q3809470,Q212413
Q3814633,Q212413
Q3849554,Q212413
Q3857412,Q212413
Q3858086,Q212413
Q3863037,Q212413
Q3876035,Q212413
Q3934007,Q212413
Q3940992,Q212413
Q3945523,Q212413
Q3953581,Q212413
Q3962469,Q212413
Q3984739,Q212413
Q3991883,Q212413
Q3992498,Q212413
Q3992907,Q212413
Q1117654,Q212413
Q1280005,Q212413
Q1353111,Q212413
Q1365204,Q212413
Q1443198,Q212413
Q1456855,Q212413
Q1456878,Q212413
Q1458241,Q212413
Q1577848,Q212413
Q1606745,Q212413
Q1606866,Q212413
Q1607739,Q212413
Q1608128,Q212413
Q1613303,Q212413
Q1618656,Q212413
Q1623135,Q212413
Q1623260,Q212413
Q1626495,Q212413
Q1626595,Q212413
Q1748399,Q212413
Q2063085,Q212413
Q2157569,Q212413
Q2294935,Q212413
Q2324380,Q212413
Q2326556,Q212413
Q2332272,Q212413
Q2342516,Q212413
Q2351747,Q212413
Q2558776,Q212413
Q2732041,Q212413
Q2733201,Q212413
Q2736555,Q212413
Q2919387,Q212413
Q2939051,Q212413
Q3084695,Q212413
Q983767,Q212413
Q1027716,Q212413
Q49030,Q212413
Q166871,Q212413
Q217632,Q212413
Q310541,Q212413
Q311542,Q212413
Q314409,Q212413
Q314413,Q212413
Q359052,Q212413
Q359401,Q212413
Q369593,Q212413
Q370011,Q212413
Q431215,Q212413
Q446086,Q212413
Q447286,Q212413
Q504835,Q212413
Q533350,Q212413
Q535559,Q212413
Q554905,Q212413
Q572987,Q212413
Q605482,Q212413
Q610741,Q212413
Q627300,Q212413
Q662328,Q212413
Q708639,Q212413
Q721011,Q212413
Q786633,Q212413
Q918347,Q212413
Q925099,Q212413
Q925856,Q212413
Q935879,Q212413
Q947656,Q212413
Q951252,Q212413
Q952921,Q212413
Q961915,Q212413
Q970313,Q212413
Q974603,Q212413
Q975759,Q212413
Q50990042,Q212413
Q6078481,Q212413
Q65030600,Q212413
Q65950890,Q212413
Q61989472,Q212413
Q3854066,Q212413
Q3857362,Q212413
Q3857389,Q212413
Q3857449,Q212413
Q3876517,Q212413
Q3901333,Q212413
Q3929789,Q212413
Q3931439,Q212413
Q3973346,Q212413
Q3993198,Q212413
Q4022896,Q212413
Q4274333,Q212413
Q4909709,Q212413
Q4934448,Q212413
Q5049096,Q212413
Q5057115,Q212413
Q5115076,Q212413
Q5300318,Q212413
Q16227648,Q212413
Q16237074,Q212413
Q16731817,Q212413
Q17038792,Q212413
Q17285036,Q212413
Q17302809,Q212413
Q17305725,Q212413
Q18044234,Q212413
Q14469440,Q212413
Q2088051,Q212413
Q2325022,Q212413
Q2412457,Q212413
Q2437570,Q212413
Q2558817,Q212413
Q2562915,Q212413
Q2566198,Q212413
Q2568299,Q212413
Q2610277,Q212413
Q2615252,Q212413
Q2631957,Q212413
Q2701620,Q212413
Q2720428,Q212413
Q2735590,Q212413
Q3023991,Q212413
Q3177415,Q212413
Q3329090,Q212413
Q3457164,Q212413
Q3508948,Q212413
Q3528239,Q212413
Q3535728,Q212413
Q3600322,Q212413
Q3639978,Q212413
Q3640013,Q212413
Q3641326,Q212413
Q3641399,Q212413
Q3641419,Q212413
Q3646307,Q212413
Q3664161,Q212413
Q3675488,Q212413
Q3693510,Q212413
Q3702839,Q212413
Q3703886,Q212413
Q3706938,Q212413
Q3718504,Q212413
Q3718868,Q212413
Q3718872,Q212413
Q3747853,Q212413
Q3751818,Q212413
Q3752680,Q212413
Q3760623,Q212413
Q3760635,Q212413
Q3760658,Q212413
Q3776449,Q212413
Q3787268,Q212413
Q3802378,Q212413
Q3808414,Q212413
Q3808413,Q212413
Q3808645,Q212413
Q3809053,Q212413
Q3814636,Q212413
Q3837892,Q212413
Q3854065,Q212413
Q3869143,Q212413
Q3901321,Q212413
Q3935002,Q212413
Q3946369,Q212413
Q3950899,Q212413
Q3952842,Q212413
Q3960170,Q212413
Q3968109,Q212413
Q3992472,Q212413
Q3993262,Q212413
Q4018614,Q212413
Q1607201,Q212413
Q1621778,Q212413
Q1623295,Q212413
Q1626436,Q212413
Q1626483,Q212413
Q1629914,Q212413
Q1639233,Q212413
Q1654072,Q212413
Q1658960,Q212413
Q1665679,Q212413
Q1747364,Q212413
Q1606869,Q212413
Q1616737,Q212413
Q1619696,Q212413
Q1630233,Q212413
Q1748188,Q212413
Q1748215,Q212413
Q2033175,Q212413
Q2267320,Q212413
Q29045112,Q212413
Q2327311,Q212413
Q2327892,Q212413
Q2331791,Q212413
Q2345897,Q212413
Q2350303,Q212413
Q2357156,Q212413
Q2370513,Q212413
Q2449958,Q212413
Q15845433,Q212413
Q21064045,Q212413
Q2527657,Q212413
Q2555675,Q212413
Q2561192,Q212413
Q2566761,Q212413
Q2663482,Q212413
Q2697583,Q212413
Q2698417,Q212413
Q2723793,Q212413
Q2735161,Q212413
Q30278325,Q212413
Q20630626,Q212413
Q2834367,Q212413
Q16204824,Q212413
Q16226957,Q212413
Q16228369,Q212413
Q2964717,Q212413
Q16579731,Q212413
Q30928984,Q212413
Q3444907,Q212413
Q16847519,Q212413
Q3546387,Q212413
Q3610515,Q212413
Q17285824,Q212413
Q23007630,Q212413
Q8992149,Q212413
Q32076468,Q212413
Q27049090,Q212413
Q18156606,Q212413
Q27924024,Q212413
Q13860876,Q212413
Q19571571,Q212413
Q33107991,Q212413
Q19880933,Q212413
Q28839789,Q212413
Q6110020,Q212413
Q7000611,Q212413
Q7179634,Q212413
Q46704885,Q212413
Q87451745,Q212413
Q4120452,Q212413
Q188222,Q212413
Q203286,Q212413
Q298512,Q212413
Q316183,Q212413
Q316252,Q212413
Q317209,Q212413
Q322063,Q212413
Q339256,Q212413
Q348696,Q212413
Q372341,Q212413
Q381746,Q212413
Q427428,Q212413
Q430263,Q212413
Q440324,Q212413
Q443665,Q212413
Q460516,Q212413
Q520526,Q212413
Q523017,Q212413
Q526499,Q212413
Q531684,Q212413
Q554237,Q212413
Q562471,Q212413
Q650683,Q212413
Q685842,Q212413
Q717573,Q212413
Q725890,Q212413
Q731502,Q212413
Q782348,Q212413
Q787502,Q212413
Q795227,Q212413
Q4954288,Q212413
Q918596,Q212413
Q922434,Q212413
Q932863,Q212413
Q935693,Q212413
Q938628,Q212413
Q962408,Q212413
Q964121,Q212413
Q970771,Q212413
Q971538,Q212413
Q5108525,Q212413
Q1132778,Q212413
Q5255286,Q212413
Q1188953,Q212413
Q53594529,Q212413
Q1455879,Q212413
Q1463338,Q212413
Q1606788,Q212413
Q1997346,Q222052
Q2274270,Q222052
Q2327261,Q222052
Q2327974,Q222052
Q2423042,Q222052
Q2569537,Q222052
Q2571956,Q222052
Q2573637,Q222052
Q2620577,Q222052
Q2626527,Q222052
Q2632370,Q222052
Q2632962,Q222052
Q2657620,Q222052
Q2733952,Q222052
Q2897346,Q222052
Q3162963,Q222052
Q3641288,Q222052
Q3641303,Q222052
Q3641314,Q222052
Q3643485,Q222052
Q3643531,Q222052
Q3665711,Q222052
Q3666683,Q222052
Q3702822,Q222052
Q3703037,Q222052
Q3703049,Q222052
Q994366,Q212413
Q1029117,Q212413
Q1132130,Q212413
Q1132676,Q212413
Q1458393,Q212413
Q1460197,Q212413
Q1463557,Q212413
Q1469693,Q212413
Q1518156,Q212413
Q1609451,Q212413
Q1617225,Q212413
Q1617237,Q212413
Q1626464,Q212413
Q1626548,Q212413
Q1631719,Q212413
Q1633958,Q212413
Q1634785,Q212413
Q1635273,Q212413
Q1640832,Q212413
Q1821176,Q212413
Q2254947,Q212413
Q2256077,Q212413
Q2317014,Q212413
Q2318219,Q212413
Q2326937,Q212413
Q2340309,Q212413
Q2348836,Q212413
Q2352300,Q212413
Q2362843,Q212413
Q2387113,Q212413
Q2445101,Q212413
Q2498128,Q212413
Q2557166,Q212413
Q2563023,Q212413
Q2566101,Q212413
Q2627265,Q212413
Q2714829,Q212413
Q2734309,Q212413
Q2737206,Q212413
Q2758197,Q212413
Q3179402,Q212413
Q354186,Q212413
Q382809,Q212413
Q384252,Q212413
Q389975,Q212413
Q440291,Q212413
Q516364,Q212413
Q519221,Q212413
Q521943,Q212413
Q17630644,Q212413
Q555110,Q212413
Q561862,Q212413
Q605561,Q212413
Q622308,Q212413
Q628219,Q212413
Q645067,Q212413
Q646481,Q212413
Q650632,Q212413
Q667741,Q212413
Q720041,Q212413
Q775160,Q212413
Q887885,Q212413
Q890711,Q212413
Q913008,Q212413
Q921340,Q212413
Q922355,Q212413
Q934398,Q212413
Q952047,Q212413
Q965969,Q212413
Q971713,Q212413
Q18157421,Q212413
Q18158796,Q212413
Q1168929,Q212413
Q1170408,Q212413
Q1317442,Q212413
Q18706030,Q212413
Q6829140,Q212413
Q11457009,Q212413
Q7001348,Q212413
Q7327914,Q212413
Q7356175,Q212413
Q7360485,Q212413
Q7365917,Q212413
Q31683,Q212413
Q7535742,Q212413
Q19881847,Q212413
Q24572734,Q212413
Q13641280,Q212413
Q16730417,Q212413
Q16910147,Q212413
Q82004,Q212413
Q17183534,Q212413
Q107413980,Q212413
Q129408,Q212413
Q221341,Q212413
Q268303,Q212413
Q284820,Q212413
Q304349,Q212413
Q313486,Q212413
Q317527,Q212413
Q332434,Q212413
Q58008659,Q212413
Q55583972,Q212413
Q51318989,Q212413
Q63190352,Q212413
Q65969713,Q212413
Q55642429,Q212413
Q51337587,Q212413
Q55830445,Q212413
Q48869104,Q212413
Q51580022,Q212413
Q65030944,Q212413
Q61244130,Q212413
Q65742398,Q212413
Q55013949,Q212413
Q53397350,Q212413
Q5233672,Q212413
Q5268445,Q212413
Q19879817,Q212413
Q1341440,Q212413
Q1342300,Q212413
Q1343136,Q212413
Q1363861,Q212413
Q1393162,Q212413
Q1428911,Q212413
Q1450899,Q212413
Q1608885,Q212413
Q1617869,Q212413
Q1618785,Q212413
Q1621683,Q212413
Q1624843,Q212413
Q1627427,Q212413
Q1640480,Q212413
Q20268371,Q212413
Q2036635,Q212413
Q3666657,Q212413
Q3679814,Q212413
Q3702301,Q212413
Q3705499,Q212413
Q3713597,Q212413
Q2247995,Q212413
Q2273491,Q212413
Q3758498,Q212413
Q3760573,Q212413
Q3776426,Q212413
Q6383989,Q212413
Q6388402,Q212413
Q3784338,Q212413
Q3805550,Q212413
Q3806279,Q212413
Q3806562,Q212413
Q3806812,Q212413
Q3808310,Q212413
Q2328853,Q212413
Q3809737,Q212413
Q3809751,Q212413
Q2330320,Q212413
Q2331737,Q212413
Q3812598,Q212413
Q3814630,Q212413
Q2346231,Q212413
Q2348203,Q212413
Q3835001,Q212413
Q2375557,Q212413
Q3857357,Q212413
Q3867448,Q212413
Q3874249,Q212413
Q2396103,Q212413
Q3880868,Q212413
Q2407571,Q212413
Q3898129,Q212413
Q3909035,Q212413
Q3930613,Q212413
Q2450307,Q212413
Q3942010,Q212413
Q2469598,Q212413
Q2476169,Q212413
Q4018609,Q212413
Q4020220,Q212413
Q4020456,Q212413
Q2556060,Q212413
Q2568302,Q212413
Q4120804,Q212413
Q2652365,Q212413
Q2698565,Q212413
Q2724800,Q212413
Q2757717,Q212413
Q4401184,Q212413
Q21621551,Q212413
Q3080241,Q212413
Q26209511,Q212413
Q3333435,Q212413
Q7456454,Q212413
Q7488132,Q212413
Q4892340,Q212413
Q3457178,Q212413
Q3499328,Q212413
Q3570801,Q212413
Q3600320,Q212413
Q3605514,Q212413
Q3607495,Q212413
Q3607550,Q212413
Q3615441,Q212413
Q7709614,Q212413
Q3638844,Q212413
Q3641317,Q212413
Q3641418,Q212413
Q3645471,Q212413
Q3702277,Q212413
Q3705484,Q212413
Q3713660,Q212413
Q3714604,Q212413
Q18123910,Q212413
Q18159213,Q212413
Q18417248,Q212413
Q4356738,Q212413
Q22005682,Q222052
Q18921708,Q222052
Q27926032,Q222052
Q19281721,Q222052
Q19622332,Q222052
Q29962976,Q222052
Q3675506,Q212413
Q3696461,Q212413
Q3699246,Q212413
Q3704266,Q212413
Q3706945,Q212413
Q3718833,Q212413
Q3723820,Q212413
Q3759438,Q212413
Q3807796,Q212413
Q3808656,Q212413
Q3811618,Q212413
Q3814340,Q212413
Q3814840,Q212413
Q3827144,Q212413
Q3849577,Q212413
Q3856193,Q212413
Q3856300,Q212413
Q3859699,Q212413
Q3898105,Q212413
Q3929803,Q212413
Q57084821,Q212413
Q2241174,Q222052
Q2275193,Q222052
Q2288198,Q222052
Q2291089,Q222052
Q2308083,Q222052
Q2311290,Q222052
Q2312912,Q222052
Q2317740,Q222052
Q2327074,Q222052
Q2328059,Q222052
Q2329792,Q222052
Q2346518,Q222052
Q2347822,Q222052
Q2355201,Q222052
Q2359600,Q222052
Q2452316,Q222052
Q2527993,Q222052
Q6773741,Q222052
Q10345591,Q212413
Q15222722,Q212413
Q7517251,Q222052
Q15432248,Q212413
Q7000771,Q212413
Q3713560,Q222052
Q3714607,Q222052
Q3718947,Q222052
Q3758552,Q222052
Q3760661,Q222052
Q3776447,Q222052
Q3783437,Q222052
Q3806295,Q222052
Q3808328,Q222052
Q3808338,Q222052
Q3809450,Q222052
Q3814339,Q222052
Q3817490,Q222052
Q3829367,Q222052
Q3850113,Q222052
Q3881889,Q222052
Q3934735,Q222052
Q7287706,Q212413
Q3973341,Q222052
Q3979077,Q222052
Q3990634,Q222052
Q3992515,Q222052
Q4017829,Q222052
Q4017850,Q222052
Q4274132,Q222052
Q460116,Q222052
Q521908,Q222052
Q523646,Q222052
Q16887646,Q212413
Q599161,Q222052
Q4667056,Q222052
Q681243,Q222052
Q681735,Q222052
Q705738,Q222052
Q706180,Q222052
Q739832,Q222052
Q763614,Q222052
Q775144,Q222052
Q779600,Q222052
Q784179,Q222052
Q787999,Q222052
Q920007,Q222052
Q921511,Q222052
Q926337,Q222052
Q929291,Q222052
Q930443,Q222052
Q935758,Q222052
Q939240,Q222052
Q953972,Q222052
Q955247,Q222052
Q963854,Q222052
Q964139,Q222052
Q965531,Q222052
Q970267,Q222052
Q971211,Q222052
Q1034012,Q222052
Q1126347,Q222052
Q1164595,Q222052
Q5292227,Q222052
Q1450542,Q222052
Q1452892,Q222052
Q1452898,Q222052
Q5548413,Q222052
Q1554023,Q222052
Q1583907,Q222052
Q1606826,Q222052
Q1606842,Q222052
Q1612734,Q222052
Q1617163,Q222052
Q1618113,Q222052
Q1619294,Q222052
Q1626604,Q222052
Q1669202,Q222052
Q13605901,Q212413
Q9350898,Q212413
Q2033126,Q222052
Q6175280,Q222052
Q1448496,Q212413
Q1456909,Q212413
Q42065,Q212413
Q723208,Q212413
Q6490227,Q212413
Q6758454,Q212413
Q6789156,Q212413
Q71980,Q212413
Q203331,Q212413
Q213346,Q212413
Q3931717,Q212413
Q3935065,Q212413
Q3946349,Q212413
Q3960122,Q212413
Q282290,Q212413
Q3992491,Q212413
Q4010090,Q212413
Q309872,Q212413
Q4019569,Q212413
Q4019758,Q212413
Q4020207,Q212413
Q337370,Q212413
Q352162,Q212413
Q364367,Q212413
Q369532,Q212413
Q372180,Q212413
Q4120772,Q212413
Q472405,Q212413
Q493208,Q212413
Q505336,Q212413
Q509150,Q212413
Q573903,Q212413
Q598416,Q212413
Q600954,Q212413
Q4310190,Q212413
Q608749,Q212413
Q628668,Q212413
Q640253,Q212413
Q4356733,Q212413
Q671268,Q212413
Q4401182,Q212413
Q716480,Q212413
Q719836,Q212413
Q763044,Q212413
Q888707,Q212413
Q940613,Q212413
Q943900,Q212413
Q948744,Q212413
Q950413,Q212413
Q954582,Q212413
Q977666,Q212413
Q4782957,Q212413
Q1093489,Q212413
Q1102109,Q212413
Q1134403,Q212413
Q1170430,Q212413
Q1193237,Q212413
Q1367824,Q212413
Q1372226,Q212413
Q1394224,Q212413
Q1419688,Q212413
Q1442393,Q212413
Q10862660,Q212413
Q6437162,Q212413
Q5108090,Q212413
Q5231758,Q212413
Q35707505,Q212413
Q6758372,Q212413
Q64009905,Q212413
Q18373749,Q212413
Q6968743,Q212413
Q27050434,Q212413
Q58422637,Q212413
Q7182291,Q212413
Q7272263,Q212413
Q6184485,Q212413
Q7819595,Q212413
Q82831721,Q212413
Q10516040,Q212413
Q47272609,Q212413
Q8037275,Q212413
Q6847384,Q212413
Q7000040,Q212413
Q30061317,Q212413
Q7182150,Q212413
Q7192274,Q212413
Q61660709,Q212413
Q16236628,Q212413
Q51557493,Q212413
Q3721229,Q212413
Q3752612,Q212413
Q5258221,Q212413
Q3785129,Q212413
Q3808315,Q212413
Q3808408,Q212413
Q3810299,Q212413
Q3829390,Q212413
Q3857419,Q212413
Q3870704,Q212413
Q3874522,Q212413
Q58091131,Q212413
Q3940996,Q212413
Q3946370,Q212413
Q3964849,Q212413
Q3973324,Q212413
Q3992487,Q212413
Q5480389,Q212413
Q4020208,Q212413
Q47994405,Q212413
Q80713297,Q212413
Q62942517,Q212413
Q5816623,Q212413
Q10345670,Q212413
Q5920488,Q212413
Q5929389,Q212413
Q63351770,Q212413
Q1622153,Q212413
Q1623147,Q212413
Q1624391,Q212413
Q1626844,Q212413
Q1627416,Q212413
Q1630655,Q212413
Q1632186,Q212413
Q1632228,Q212413
Q1634599,Q212413
Q1648767,Q212413
Q2157582,Q212413
Q2311784,Q212413
Q2331010,Q212413
Q2332240,Q212413
Q2333436,Q212413
Q2339106,Q212413
Q2344573,Q212413
Q2419803,Q212413
Q2481133,Q212413
Q2589648,Q212413
Q2625359,Q212413
Q48842,Q222052
Q107369409,Q212413
Q115509,Q212413
Q127125,Q212413
Q181601,Q212413
Q196185,Q212413
Q54009923,Q212413
Q205326,Q212413
Q220565,Q212413
Q298531,Q212413
Q310108,Q212413
Q314430,Q212413
Q319336,Q212413
Q324249,Q212413
Q83554,Q212413
Q190094,Q212413
Q192955,Q212413
Q274469,Q212413
Q309590,Q212413
Q312643,Q212413
Q313045,Q212413
Q334702,Q212413
Q336030,Q212413
Q352159,Q212413
Q364295,Q212413
Q377852,Q212413
Q440121,Q212413
Q451780,Q212413
Q525461,Q212413
Q552935,Q212413
Q557841,Q212413
Q558668,Q212413
Q622213,Q212413
Q659284,Q212413
Q666812,Q212413
Q60286847,Q212413
Q24200,Q212413
Q32253,Q212413
Q60971,Q212413
Q65594,Q222052
Q72353,Q222052
Q131942,Q222052
Q60636153,Q212413
Q169452,Q222052
Q182455,Q222052
Q271933,Q222052
Q273256,Q222052
Q301863,Q222052
Q302068,Q222052
Q313389,Q222052
Q313487,Q222052
Q316246,Q222052
Q324842,Q222052
Q352168,Q222052
Q17717,Q212413
Q359370,Q222052
Q23943,Q212413
Q24519,Q212413
Q363409,Q222052
Q367117,Q222052
Q36159,Q212413
Q380515,Q222052
Q381762,Q222052
Q48839,Q212413
Q393734,Q222052
Q442623,Q222052
Q448245,Q222052
Q3607482,Q212413
Q3607547,Q212413
Q3636205,Q212413
Q3640054,Q212413
Q3641340,Q212413
Q3641353,Q212413
Q3646333,Q212413
Q3664090,Q212413
Q3666666,Q212413
Q3667274,Q212413
Q3667762,Q212413
Q3675009,Q212413
Q715947,Q212413
Q720536,Q212413
Q729319,Q212413
Q772141,Q212413
Q775184,Q212413
Q782341,Q212413
Q787374,Q212413
Q939023,Q212413
Q964593,Q212413
Q965005,Q212413
Q971463,Q212413
Q972990,Q212413
Q977972,Q212413
Q979041,Q212413
Q982612,Q212413
Q22959154,Q212413
Q20031584,Q212413
Q29044421,Q212413
Q136678,Q212413
Q27662581,Q212413
Q50365734,Q212413
Q63042439,Q212413
Q18978032,Q212413
Q28016751,Q212413
Q32860369,Q212413
Q25369,Q212413
Q46040,Q212413
Q58335,Q212413
Q30122669,Q212413
Q19564111,Q212413
Q77359160,Q212413
Q19844712,Q212413
Q35172580,Q212413
Q15978266,Q212413
Q29452685,Q212413
Q16135921,Q212413
Q16150000,Q212413
Q20657373,Q212413
Q20711111,Q212413
Q21063053,Q212413
Q65581020,Q212413
Q17418404,Q212413
Q32318040,Q212413
Q193108,Q212413
Q298496,Q212413
Q301757,Q212413
Q312648,Q212413
Q313473,Q212413
Q316161,Q212413
Q317021,Q212413
Q348618,Q212413
Q352093,Q212413
Q370486,Q212413
Q370779,Q212413
Q380015,Q212413
Q432091,Q212413
Q459413,Q212413
Q22004418,Q212413
Q514061,Q212413
Q514117,Q212413
Q517675,Q212413
Q532832,Q212413
Q32859536,Q212413
Q555264,Q212413
Q556418,Q212413
Q558674,Q212413
Q578407,Q212413
Q18043905,Q212413
Q617716,Q212413
Q618550,Q212413
Q638486,Q212413
Q641041,Q212413
Q659579,Q212413
Q667302,Q212413
Q672716,Q212413
Q26704887,Q212413
Q67605606,Q222052
Q15214945,Q222052
Q50380184,Q222052
Q15608836,Q222052
Q55138460,Q222052
Q6939389,Q222052
Q15920046,Q222052
Q7035595,Q222052
Q55386650,Q222052
Q7152742,Q222052
Q16235975,Q222052
Q55622235,Q222052
Q58590,Q222052
Q17281073,Q222052
Q79052337,Q222052
Q66133404,Q222052
Q44858580,Q222052
Q94846,Q222052
Q116254,Q222052
Q137450,Q222052
Q193020,Q222052
Q193052,Q222052
Q242185,Q222052
Q5220000,Q222052
Q20652410,Q222052
Q5981921,Q222052
Q39070726,Q222052
Q3783041,Q222052
Q3807778,Q222052
Q3807998,Q222052
Q3808390,Q222052
Q3809611,Q222052
Q3809625,Q222052
Q3811603,Q222052
Q3830155,Q222052
Q3844781,Q222052
Q3852003,Q222052
Q3856220,Q222052
Q3900798,Q222052
Q3938465,Q222052
Q3940266,Q222052
Q4018600,Q222052
Q4018618,Q222052
Q4020151,Q222052
Q4024141,Q222052
Q28105058,Q222052
Q19286282,Q222052
Q4717362,Q222052
Q2556861,Q222052
Q2557595,Q222052
Q2561832,Q222052
Q2562137,Q222052
Q2564695,Q222052
Q2565049,Q222052
Q2565541,Q222052
Q2573181,Q222052
Q352319,Q212413
Q360894,Q212413
Q366607,Q212413
Q371193,Q212413
Q371224,Q212413
Q372803,Q212413
Q2640114,Q222052
Q2664263,Q222052
Q461407,Q212413
Q2735509,Q222052
Q2736739,Q222052
Q520368,Q212413
Q526241,Q212413
Q537972,Q212413
Q540498,Q212413
Q553318,Q212413
Q2784995,Q222052
Q590253,Q212413
Q628613,Q212413
Q2887755,Q222052
Q676481,Q212413
Q716316,Q212413
Q2943748,Q222052
Q724581,Q212413
Q918855,Q212413
Q920081,Q212413
Q926364,Q212413
Q941813,Q212413
Q942651,Q212413
Q948453,Q212413
Q953041,Q212413
Q953837,Q212413
Q962929,Q212413
Q969401,Q212413
Q3206327,Q222052
Q984367,Q212413
Q1101719,Q212413
Q742049,Q212413
Q1135781,Q212413
Q775378,Q212413
Q1184377,Q212413
Q836418,Q212413
Q893223,Q212413
Q918643,Q212413
Q921771,Q212413
Q924913,Q212413
Q933952,Q212413
Q940442,Q212413
Q944821,Q212413
Q948237,Q212413
Q952463,Q212413
Q958366,Q212413
Q958710,Q212413
Q965431,Q212413
Q1347527,Q212413
Q3603094,Q222052
Q3607765,Q222052
Q1393488,Q212413
Q3639956,Q222052
Q3639977,Q222052
Q3640831,Q222052
Q3641392,Q222052
Q1077691,Q212413
Q3676014,Q222052
Q1450551,Q212413
Q1453417,Q212413
Q1455883,Q212413
Q1458196,Q212413
Q1458383,Q212413
Q1097123,Q212413
Q1116536,Q212413
Q1121849,Q212413
Q1167795,Q212413
Q1530759,Q212413
Q1606682,Q212413
Q1607317,Q212413
Q1615621,Q212413
Q1618677,Q212413
Q1627828,Q212413
Q1630075,Q212413
Q1635488,Q212413
Q1650846,Q212413
Q1354036,Q212413
Q1390766,Q212413
Q1892484,Q212413
Q1960839,Q212413
Q1608378,Q212413
Q1608479,Q212413
Q1617800,Q212413
Q1619249,Q212413
Q1622114,Q212413
Q1622122,Q212413
Q18638053,Q212413
Q6783608,Q222052
Q6999272,Q222052
Q18921278,Q212413
Q37486462,Q222052
