wikidata_id:ID(Coach),name,enwiki_title,country_of_citizenship,place_of_birth,native_language,sex_or_gender,date_of_birth,work_period_start,work_period_end
Q558674,Nick Van Exel,Nick Van Exel,United States of America,Kenosha,English,male,27 November 1971,1993,2006
Q576196,Kim English,Kim English (basketball),United States of America; Jamaica,Baltimore,English,male,24 September 1988,2012,2015
Q968402,Carl Thomas,Carl Thomas (basketball),United States of America,Dayton,English,male,03 October 1969,1991,2003
Q962408,Vern Fleming,Vern Fleming,United States of America,New York City,English,male,04 February 1962,1984,1997
Q964121,Red Wallace,Red Wallace,United States of America,Pennsylvania,English,male,12 July 1918,1944,1953
Q2247995,Aaron McKie,Aaron McKie,United States of America,Philadelphia,English,male,02 October 1972,1994,2007
Q2273491,Reece Gaines,Reece Gaines,United States of America,Madison,English,male,07 January 1981,2003,2012
Q964593,Maurice Cheeks,Maurice Cheeks,United States of America,Chicago,English,male,08 September 1956,1978,1993
Q1606675,Mike McGee,Mike McGee (basketball),United States of America,Tyler,English,male,29 July 1959,1981,1992
Q302068,Aaron Gray,Aaron Gray,United States of America,Tarzana,English,male,07 December 1984,2007,2014
Q1458383,Jim Price,Jim Price (basketball),United States of America,Russellville,English,male,27 November 1949,1972,1979
Q298531,Chauncey Billups,Chauncey Billups,United States of America,Denver,English,male,25 September 1976,1997,2014
Q573036,Wayne Ellington,Wayne Ellington,United States of America,Wynnewood,English,male,29 November 1987,2009,
Q583380,Fred Vinson,Fred Vinson (basketball),United States of America,Murfreesboro,English,male,28 January 1971,1994,2007
Q1463338,Travis Mays,Travis Mays,Italy; United States of America,Ocala,English,male,19 June 1968,1990,2002
Q1458294,Courtney Alexander,Courtney Alexander,United States of America,Bridgeport,English,male,27 April 1977,2000,2006
Q1469693,Mack Calvin,Mack Calvin,United States of America,Fort Worth,English,male,27 July 1947,1969,1981
Q586957,Antoine Rigaudeau,Antoine Rigaudeau,France,Cholet,,male,17 December 1971,1987,2005
Q590253,Jerry Sichting,Jerry Sichting,United States of America,Martinsville,English,male,29 November 1956,1980,1990
Q1606788,George Senesky,George Senesky,United States of America,Mahanoy City,English,male,04 April 1922,1945,1954
Q1606800,Joe Hutton,Joe Hutton (basketball),United States of America,Excelsior,English,male,06 October 1928,1950,1952
Q955247,Vern Gardner,Vern Gardner,United States of America,Afton,English,male,14 May 1925,1949,1952
Q961660,Red Holzman,Red Holzman,United States of America,Brooklyn,English,male,10 August 1920,,
Q964580,Danny Manning,Danny Manning,United States of America,Hattiesburg,English,male,17 May 1966,1988,2003
Q964696,Jim Pollard,Jim Pollard,United States of America,Oakland,English,male,09 July 1922,1947,1955
Q301757,Aaron Brooks,Aaron Brooks (basketball),United States of America,Seattle,English,male,14 January 1985,2007,
Q594137,Ralph Sampson,Ralph Sampson,United States of America,Harrisonburg,English,male,07 July 1960,1983,1995
Q963613,Harry Gallatin,Harry Gallatin,United States of America,Roxana,English,male,26 April 1927,1948,1958
Q969401,Micheal Ray Richardson,Micheal Ray Richardson,United States of America,Lubbock,English,male,11 April 1955,1978,2002
Q578407,John Barnhill,John Barnhill (basketball),United States of America,Evansville,English,male,20 March 1938,1960,1972
Q1584499,Aaron Miles,Aaron Miles (basketball),United States of America,Portland,English,male,13 April 1983,2005,2015
Q1463357,Truck Robinson,Truck Robinson,United States of America,Jacksonville,English,male,04 October 1951,1974,1985
Q1469007,Michael Cage,Michael Cage,United States of America,West Memphis,English,male,28 January 1962,1984,2000
Q1459540,John Thompson,John Thompson (basketball),United States of America,"Washington, D.C.",English,male,02 September 1941,1964,1966
Q304349,Keyon Dooling,Keyon Dooling,United States of America,Fort Lauderdale,English,male,08 May 1980,2000,2013
Q1607188,George T. Johnson,George T. Johnson,United States of America,Tylertown,,male,18 December 1948,1972,
Q1458344,Mark West,Mark West (basketball),United States of America,Petersburg,English,male,05 November 1960,1983,2000
Q1460251,Mark Macon,Mark Macon,United States of America,Saginaw,English,male,14 April 1969,1991,2001
Q1606745,Richie Regan,Richie Regan,United States of America,Newark,English,male,30 November 1930,1955,1959
Q311542,Mike Bibby,Mike Bibby,United States of America,Cherry Hill,English,male,13 May 1978,1998,2012
Q580808,Fred Hoiberg,Fred Hoiberg,United States of America,Lincoln,English,male,15 October 1972,1995,2005
Q581408,Donnie Boyce,Donnie Boyce,United States of America,Chicago,English,male,02 September 1973,1995,2006
Q586579,Tom Thibodeau,Tom Thibodeau,United States of America,New Britain,English,male,17 January 1958,,
Q2291089,Uroš Slokar,Uro%C5%A1 Slokar,Slovenia,Ljubljana,,male,14 May 1983,2001,
Q2308556,Randy Brown,Randy Brown (basketball),United States of America,Chicago,English,male,22 May 1968,1991,2003
Q1555321,Gus Johnson,Gus Johnson (basketball),United States of America,Akron,English,male,13 December 1938,1963,1973
Q2273690,Jaren Jackson,Jaren Jackson,United States of America,New Orleans,English,male,27 October 1967,1989,2002
Q964594,Bob Brannum,Bob Brannum,United States of America,Winfield,English,male,28 May 1925,1948,1955
Q2063085,Paul Westphal,Paul Westphal,United States of America,Torrance,English,male,30 November 1950,1972,1984
Q950413,Billy Donovan,Billy Donovan,United States of America,Rockville Centre,English,male,30 May 1965,1987,1989
Q312643,Bob Cousy,Bob Cousy,United States of America,Manhattan,,male,09 August 1928,1950,1963
Q311195,Jerry West,Jerry West,United States of America,Chelyan,English,male,28 May 1938,1960,1974
Q2308568,Jason Caffey,Jason Caffey,United States of America,Tuscaloosa,English,male,12 June 1973,1995,2003
Q312648,Jason Terry,Jason Terry,United States of America,Seattle,English,male,15 September 1977,1999,2018
Q581074,Lawrence Moten,Lawrence Moten,United States of America,"Washington, D.C.",English,male,25 March 1972,1995,2006
Q581976,Mario Elie,Mario Elie,United States of America,New York City,English,male,26 November 1963,1986,2001
Q586182,Wilson Washington,Wilson Washington,United States of America,Norfolk,English,male,03 August 1955,1977,1983
Q572987,Anthony Carter,Anthony Carter (basketball),United States of America,Milwaukee,English,male,16 June 1975,1998,2012
Q1461043,Tom Gola,Tom Gola,United States of America,Philadelphia,English,male,13 January 1933,1955,1966
Q298512,Isiah Thomas,Isiah Thomas,United States of America,Chicago,English,male,30 April 1961,1981,1994
Q1464679,Jeff Nordgaard,Jeff Nordgaard,Poland; United States of America,Dawson,English,male,23 February 1973,1996,2009
Q967072,Ben McDonald,Ben McDonald (basketball),United States of America,Torrance,English,male,20 July 1962,1984,1994
Q958366,Lionel Hollins,Lionel Hollins,United States of America,Arkansas City,English,male,19 October 1953,1975,1985
Q958710,Bryce Drew,Bryce Drew,United States of America,Baton Rouge,English,male,21 September 1974,1998,2004
Q970771,Sergei Bazarevich,Sergei Bazarevich,Soviet Union; Russia,Moscow,,male,16 March 1965,1983,2003
Q972855,Charley Shipp,Charley Shipp,United States of America,Indianapolis,English,male,03 December 1913,,
Q970093,Butch Carter,Butch Carter,United States of America,Springfield,English,male,11 June 1958,1980,1986
Q971463,Omar Cook,Omar Cook,Montenegro; United States of America,Brooklyn,English,male,28 January 1982,2001,
Q972990,Slater Martin,Slater Martin,United States of America,Walker County,English,male,22 October 1925,1949,1960
Q314621,Derek Fisher,Derek Fisher,United States of America,Little Rock,English,male,09 August 1974,1996,2014
Q2322285,Martin Müürsepp,Martin M%C3%BC%C3%BCrsepp,Estonia,Tallinn,,male,26 September 1974,1990,2010
Q2326029,DeMarco Johnson,DeMarco Johnson,United States of America,Charlotte,English,male,06 October 1975,1998,2010
Q1616709,Larry Hennessy,Larry Hennessy,United States of America,New Rochelle,English,male,20 May 1929,1955,1961
Q1617065,Bumper Tormohlen,Bumper Tormohlen,United States of America,Holland,English,male,12 May 1937,1961,1970
Q2317014,Jason Hart,Jason Hart (basketball),United States of America,Los Angeles,English,male,29 April 1978,2000,2010
Q628846,Chip Engelland,Chip Engelland,United States of America,Pacific Palisades,English,male,09 May 1961,1984,1991
Q313485,Brandon Roy,Brandon Roy,United States of America,Seattle,English,male,23 July 1984,2006,2013
Q2326977,Ray Scott,Ray Scott (basketball),United States of America,Philadelphia,English,male,12 July 1938,1958,1972
Q1607214,Derrick Alston,Derrick Alston,United States of America,The Bronx,English,male,20 August 1972,1990,2012
Q1607728,Dudley Bradley,Dudley Bradley,United States of America,Baltimore,English,male,19 March 1957,1979,1993
Q1609283,Greg Buckner,Greg Buckner,United States of America,Hopkinsville,English,male,16 September 1976,1998,2009
Q1614388,David Noel,David Noel,United States of America,Durham,English,male,27 February 1984,2006,2017
Q628422,Geert Hammink,Geert Hammink,Kingdom of the Netherlands,Didam,,male,12 July 1969,1993,2004
Q1609451,Jay Humphries,Jay Humphries,United States of America,Los Angeles,English,male,17 October 1962,1984,1995
Q2308671,Julius Hodge,Julius Hodge,United States of America; Antigua and Barbuda,New York City,English,male,18 November 1983,2005,2015
Q616436,Mitch Kupchak,Mitch Kupchak,Poland; United States of America,Hicksville,English,male,24 May 1954,1976,1986
Q314614,Robert Parish,Robert Parish,United States of America,Shreveport,English,male,30 August 1953,1976,1997
