:START_ID(Player),:END_ID(Award),time
Q41421,Q674359,1996
Q41421,Q674359,1988
Q41421,Q674359,1993
Q41421,Q674359,1987
Q41421,Q674359,1992
Q2329774,Q41628143,1993
Q925099,Q41628143,2016
Q2318539,Q1125399,1988
Q352140,Q41628143,2016
Q6390069,Q41628143,1979
Q17281073,Q112144165,2023
Q634812,Q41628143,2014
Q1687804,Q388970,1993
Q1687804,Q388970,1989
Q1687804,Q388970,1976
Q1687804,Q388970,1981
Q2387113,Q41628143,2022
Q209982,Q124390870,2005
Q1450542,Q41628143,1970
Q19881847,Q5361902,2017
Q63112754,Q16980367,2020
Q17281073,Q739499,2023
Q2331870,Q41628143,2012
Q2325022,Q41628143,1995
Q19881847,Q517881,2017
Q933952,Q1418009,1972
Q928077,Q1501719,2013
Q150502,Q41628143,2022
Q92198887,Q4816371,2022
Q1618750,Q41628143,2003
Q930445,Q1501719,2005
Q1583907,Q41628143,1978
Q41421,Q2404133,1984
Q2333229,Q41628143,1972
Q41421,Q743122,1992
Q41421,Q743122,1991
Q41421,Q743122,1993
Q2317740,Q55316905,2017
Q5586369,Q26242497,2020
Q637382,Q41628143,1983
Q29342,Q1418009,2012
Q6372315,Q644357,2016
Q948237,Q41628143,1991
Q134183,Q118697991,1992
Q14834367,Q1418009,2016
Q41421,Q943106,1998
Q41421,Q943106,1993
Q41421,Q943106,1999
Q41421,Q943106,1997
Q271933,Q121359767,2006
Q25369,Q917808,04 March 2018
Q41421,Q1465181,1992
Q41421,Q1465181,1991
Q41421,Q1465181,1989
Q41421,Q1465181,1996
Q41421,Q1465181,1993
Q41421,Q1465181,12 May 1988
Q41421,Q1465181,1998
Q41421,Q1465181,1990
Q41421,Q1465181,1997
Q3900792,Q41628143,2007
Q14834367,Q4001973,2015
Q3718833,Q41628143,2014
Q3830193,Q41628143,2012
Q2565114,Q41628143,1988
Q735251,Q41628143,1984
Q2326977,Q918054,1974
Q2326948,Q41628143,1998
Q29281952,Q16980367,2017
Q896772,Q41628143,2001
Q41421,Q137003,1996
Q523630,Q918054,2016
Q19615890,Q41628143,1980
Q3637883,Q41628143,1992
Q928077,Q1418009,2012
Q351802,Q41628143,2023
Q20710441,Q4906518,2017
Q718669,Q41628143,1982
Q41421,Q739499,1996
Q41421,Q739499,1992
Q41421,Q739499,1991
Q41421,Q739499,1998
Q41421,Q739499,1993
Q41421,Q739499,1997
Q2567482,Q121359767,2009
Q1378121,Q979186,2017
Q314071,Q5770886,November 2019
Q3930049,Q41628143,2014
Q1608378,Q1514249,1960
Q2642159,Q6589922,2007
Q926311,Q2666769,1994
Q440357,Q41628143,1969
Q36159,Q4835465,2013
Q36159,Q4835465,2010
Q36159,Q4835465,2004
Q36159,Q4835465,2009
Q36159,Q4835465,2006
Q36159,Q4835465,2007
Q36159,Q943106,2009
Q36159,Q943106,2007
Q36159,Q943106,2013
Q36159,Q943106,2012
Q17717,Q674359,1965
Q17717,Q674359,1966
Q17717,Q674359,1967
Q17717,Q674359,1968
Q17717,Q674359,1961
Q17717,Q674359,1962
Q17717,Q674359,1969
Q17717,Q674359,1963
Q17717,Q674359,1964
Q36159,Q1465181,2010
Q36159,Q1465181,2013
Q36159,Q1465181,2011
Q36159,Q1465181,2009
Q36159,Q1465181,2012
Q36159,Q674359,2014
Q36159,Q674359,2008
Q36159,Q674359,2006
Q36159,Q674359,2013
Q36159,Q674359,2012
Q36159,Q674359,2010
Q36159,Q674359,2011
Q36159,Q674359,2009
Q75060241,Q3625678,2020
Q19844712,Q644357,2019
Q36159,Q222047,2013
Q36159,Q222047,2012
Q36159,Q222047,2010
Q36159,Q222047,2009
Q193637,Q1465181,1993
Q193637,Q1465181,1991
Q193637,Q1465181,1997
Q193637,Q1465181,1994
Q193637,Q1465181,1999
Q193637,Q1465181,1996
Q193637,Q1465181,1995
Q193637,Q1465181,2000
Q193637,Q1465181,1992
Q193637,Q1465181,1998
Q27443338,Q6952971,2017
Q193637,Q674359,1998
Q193637,Q674359,1994
Q193637,Q674359,1993
Q193637,Q674359,1992
Q193637,Q674359,1997
Q193637,Q674359,1996
Q193637,Q674359,1995
Q65030944,Q7865896,2021
Q75060241,Q1641970,2020
Q22958459,Q7122259,2018
Q36159,Q1653207,2020
Q36159,Q1653207,2012
Q36159,Q1653207,2016
Q17717,Q16996870,1956
Q36159,Q31391,2008
Q36159,Q31391,2008
Q36159,Q31391,2006
Q75060241,Q2666769,2020
Q36159,Q739499,2013
Q36159,Q739499,2013
Q36159,Q739499,2012
Q36159,Q739499,2012
Q75060241,Q4816274,2020
Q84360117,Q4905618,2021
Q36159,Q4896724,2013
Q36159,Q4896724,2012
Q36159,Q743122,2016
Q36159,Q743122,2013
Q36159,Q743122,2020
Q36159,Q743122,2018
Q50990042,Q4816274,2018
Q17281073,Q222047,2022
Q17281073,Q222047,2021
Q10516040,Q1641970,2013
Q5006560,Q7148018,2012
Q5006560,Q7148018,2010
Q21622110,Q7569437,2017
Q36159,Q4896605,2013
Q36159,Q4896605,2012
Q47299742,Q7569437,2018
Q17717,Q644357,1961
Q36159,Q1501719,2017
Q22117381,Q10873970,2017
Q36159,Q1418009,2004
Q10516040,Q1418009,2014
Q36159,Q2282428,2003
Q17717,Q222047,1964
Q75060241,Q2404133,2020
Q61244130,Q6928407,2016
Q36159,Q644357,2004
Q36159,Q7080855,2003
Q36159,Q7080855,2002
Q36159,Q7080855,2001
Q17717,Q31391,1961
Q17717,Q31391,1969
Q17717,Q31391,1964
Q47463922,Q4906518,2018
Q61244130,Q4906518,2019
Q19564111,Q7122259,2015
Q65030944,Q4904894,2021
Q193637,Q31391,1994
Q27443338,Q9062372,2017
Q16236628,Q6879778,2016; 2014
Q36159,Q4896598,2004
Q134183,Q1418009,1980
Q41421,Q31391,1988
Q41421,Q31391,1998
Q41421,Q31391,1996
Q134183,Q674359,1986
Q134183,Q674359,1985
Q134183,Q674359,1991
Q134183,Q674359,1984
Q134183,Q674359,1983
Q134183,Q674359,1990
Q134183,Q674359,1989
Q134183,Q674359,1988
Q134183,Q674359,1987
Q190094,Q4835465,2001
Q190094,Q107283826,1997
Q41421,Q1061233,1992
Q169452,Q739499,2000
Q169452,Q739499,2002
Q169452,Q739499,2001
Q41421,Q845884,1988
Q169452,Q31391,2000
Q169452,Q31391,2004
Q169452,Q31391,2009
Q190094,Q674359,2001
Q190094,Q674359,1999
Q190094,Q674359,2005
Q41421,Q1641970,1984
Q190094,Q222047,2001
Q134183,Q739499,1987
Q134183,Q739499,1980
Q134183,Q739499,1982
Q41421,Q586458,2015
Q41421,Q222047,1992
Q41421,Q222047,1998
Q41421,Q222047,1991
Q41421,Q222047,1996
Q41421,Q222047,1988
Q169452,Q674359,2004
Q169452,Q674359,2003
Q169452,Q674359,2002
Q169452,Q674359,2001
Q169452,Q674359,2006
Q169452,Q674359,2000
Q169452,Q674359,1998
Q169452,Q674359,2005
Q134183,Q5020532,2011
Q182455,Q674359,1966
Q182455,Q674359,1968
Q182455,Q674359,1964
Q182455,Q674359,1960
Q182455,Q674359,1967
Q182455,Q674359,1961
Q182455,Q674359,1962
Q182455,Q222047,1966
Q182455,Q222047,1960
Q182455,Q222047,1967
Q182455,Q222047,1968
Q190094,Q31391,2001
Q190094,Q31391,2005
Q134183,Q1501719,1992
Q41421,Q17144,2016
Q182455,Q644357,1960
Q125060,Q3734778,2014
Q180860,Q1125399,1992
Q134183,Q222047,1990
Q134183,Q222047,1989
Q134183,Q222047,1987
Q169452,Q1418009,1993
Q41421,Q4650547,1984
Q169452,Q644357,1993
Q134183,Q31391,1992
Q134183,Q31391,1990
Q190094,Q644357,1997
Q134183,Q5593890,1992
Q169452,Q4835465,2005
Q169452,Q943106,2002
Q169452,Q943106,2001
Q169452,Q222047,2000
Q41421,Q1418009,1985
Q41421,Q644357,1985
Q41421,Q4816371,1982
Q134183,Q4835493,2003
Q190152,Q918054,1998
Q352159,Q18156668,2015
Q190152,Q1641970,1979
Q295364,Q1465181,2006
Q295364,Q1465181,2005
Q295364,Q1465181,2004
Q295364,Q1465181,2003
Q295364,Q1465181,2002
Q182455,Q739499,1972
Q313485,Q644357,2007
Q440121,Q31391,1976
Q190152,Q674359,1988
Q190152,Q674359,1987
Q190152,Q674359,1980
Q190152,Q674359,1985
Q190152,Q674359,1984
Q190152,Q674359,1990
Q190152,Q674359,1983
Q190152,Q674359,1982
Q190152,Q674359,1981
Q190152,Q674359,1986
Q348598,Q1418596,1996
Q275889,Q3320370,2015
Q264393,Q222047,1973
Q190152,Q1418009,1980
Q348598,Q1465181,1992
Q348598,Q1465181,1991
Q348598,Q1465181,1990
Q348598,Q1465181,1989
Q348598,Q1465181,1993
Q190152,Q644357,1980
Q190152,Q222047,1985
Q190152,Q222047,1984
Q190152,Q222047,1986
Q192955,Q1501719,2007
Q348598,Q1501719,1994
Q192955,Q674359,2007
Q192955,Q674359,2006
Q192955,Q674359,2005
Q192955,Q222047,2006
Q192955,Q222047,2005
Q348598,Q674359,1993
Q348598,Q674359,1991
Q348598,Q674359,1990
Q312643,Q674359,1957
Q312643,Q674359,1958
Q312643,Q674359,1952
Q312643,Q674359,1959
Q312643,Q674359,1960
Q312643,Q674359,1953
Q312643,Q674359,1954
Q312643,Q674359,1961
Q312643,Q674359,1955
Q312643,Q674359,1956
Q182455,Q1465181,1972
Q182455,Q1465181,1973
Q312643,Q222047,1957
Q209982,Q5484794,2002
Q348598,Q1418009,1986
Q264393,Q31391,1973
Q190152,Q739499,1986
Q190152,Q739499,1984
Q352159,Q222047,2016
Q352159,Q222047,2015
Q440121,Q674359,1971
Q440121,Q674359,1968
Q295364,Q845884,2003
Q295364,Q845884,2002
Q295364,Q845884,2006
Q295364,Q845884,2005
Q264393,Q1465181,1976
Q190152,Q743122,1986
Q312643,Q31391,1957
Q312643,Q31391,1954
Q352159,Q739499,2022
Q264393,Q1418009,1971
Q182455,Q31391,1960
Q190152,Q388970,2012
Q264393,Q644357,1971
Q192955,Q943106,2005
Q192955,Q517881,1996; 1995
Q352159,Q743122,2015
Q312643,Q3809120,1983
Q348598,Q388970,2003
Q352159,Q1418596,2011
Q192955,Q857933,2008
Q190152,Q31391,1982
Q275889,Q845884,2013
Q440121,Q101566864,17 April 2006
Q199896,Q1418009,1986
Q440121,Q1418009,1967
Q352159,Q1418009,2010
Q275889,Q1387630,2008
Q348598,Q739499,1989
Q179051,Q1465181,1974
Q179051,Q1465181,1980
Q179051,Q1465181,1979
Q179051,Q1465181,1975
Q179051,Q1465181,1981
Q179051,Q674359,1972
Q179051,Q674359,1971
Q179051,Q674359,1977
Q179051,Q674359,1984
Q179051,Q674359,1976
Q179051,Q674359,1981
Q179051,Q674359,1974
Q179051,Q674359,1973
Q179051,Q674359,1980
Q179051,Q674359,1986
Q1089188,Q1418009,1987
Q179051,Q222047,1972
Q179051,Q222047,1971
Q179051,Q222047,1977
Q179051,Q222047,1976
Q179051,Q222047,1974
Q179051,Q222047,1980
Q30278325,Q4904894,2018
Q21064045,Q2404133,2017
Q21064045,Q2081740,2017
Q44068,Q943106,2011
Q29545,Q4835465,2012
Q29545,Q4835465,2014
Q16236541,Q7569437,2017
Q179051,Q1418009,1970
Q29545,Q943106,2014
Q189240,Q31391,2003
Q179051,Q644357,1970
Q316179,Q674359,1985
Q316179,Q674359,1979
Q316179,Q674359,1983
Q316179,Q674359,1982
Q29545,Q674359,2012
Q29545,Q674359,2011
Q29545,Q674359,2010
Q29545,Q674359,2014
Q29545,Q674359,2013
Q1126347,Q290922,1992
Q18352238,Q6929029,2014
Q44068,Q222047,2007
Q33120424,Q944843,1977
Q44068,Q674359,2007
Q44068,Q674359,2006
Q44068,Q674359,2005
Q44068,Q674359,2009
Q179051,Q739499,1985
Q179051,Q739499,1971
Q189240,Q943106,2004
Q2562179,Q918054,1969
Q2562179,Q918054,1982
Q189240,Q1465181,2011
Q189240,Q1465181,2003
Q189240,Q1465181,2009
Q189240,Q1465181,2002
Q189240,Q1465181,2008
Q189240,Q1465181,2000
Q189240,Q1465181,2005
Q189240,Q1465181,2004
Q189240,Q1465181,2001
Q19571571,Q517881,2016
Q17465755,Q644357,2017
Q189240,Q1501719,2006
Q189240,Q674359,2000
Q189240,Q674359,2003
Q189240,Q674359,2008
Q189240,Q674359,2004
Q2562179,Q674359,1960
Q29545,Q4904894,2007
Q29545,Q31391,2012
Q3808350,Q7708011,1976
Q21064045,Q4904894,2017
Q21064045,Q3625678,2017
Q179051,Q17144,2016
Q29545,Q1641970,2007
Q17465755,Q3304648,2016
Q21064045,Q1641970,2017
Q44068,Q876882,2011
Q1815125,Q31391,1978
Q29545,Q604370,2018
Q29545,Q1418009,2008
Q29545,Q222047,2014
Q29545,Q7865896,2007
Q17465755,Q3869345,2016
Q21064045,Q2666769,2017
Q179051,Q16918963,2013
Q29545,Q644357,2008
Q1126347,Q674359,1970
Q179051,Q1653207,1985
Q21064045,Q3869347,2017
Q28105058,Q13422138,08 September 2021
Q2564695,Q388970,1992
Q2564695,Q388970,1998
Q62869978,Q4905618,2021
Q179051,Q5020532,2014
Q189240,Q222047,2004
Q139376,Q1125399,2004
Q44068,Q739499,2011
Q44068,Q4896724,2011
Q29545,Q4896724,2014
Q29545,Q4896727,2007
Q1155161,Q16996870,1975
Q505336,Q674359,1959
Q505336,Q674359,1956
Q505336,Q674359,1957
Q505336,Q674359,1958
Q387141,Q918054,1964
Q742119,Q1465181,1988
Q742119,Q1465181,1992
Q742119,Q1465181,1991
Q742119,Q1465181,1990
Q2733180,Q918054,1991
Q732350,Q1641970,2014
Q598416,Q739499,1976
Q1628310,Q3625678,1993
Q316179,Q1465181,1983
Q608514,Q1465181,1998
Q608514,Q1465181,1994
Q364367,Q3734778,2013
Q732350,Q6705407,2012; 2014
Q732350,Q6596713,2014
Q732350,Q2666769,2014
Q316179,Q222047,1979
Q316179,Q222047,1983
Q316179,Q222047,1982
Q742119,Q674359,1983
Q705993,Q9678710,10 June 2019
Q1628310,Q1641970,1993
Q372389,Q1501719,1999
Q732350,Q3869347,2014
Q192707,Q674359,1996
Q192707,Q674359,1995
Q192707,Q674359,1988
Q192707,Q674359,1994
Q192707,Q674359,1987
Q192707,Q674359,1986
Q192707,Q674359,1992
Q192707,Q674359,1991
Q192707,Q674359,1993
Q192707,Q674359,1990
Q192707,Q674359,1989
Q369532,Q1125399,2014
Q742119,Q1418009,1982
Q608514,Q1418009,1986
Q1166588,Q1418009,1981
Q742119,Q644357,1982
Q1628310,Q2666769,1993
Q1166588,Q644357,1981
Q3446792,Q845884,2021
Q3446792,Q845884,2019
Q3446792,Q845884,2018
Q192707,Q222047,1993
Q366505,Q674359,1965
Q366505,Q674359,1966
Q366505,Q674359,1968
Q732350,Q6952971,2012; 2014; 2013
Q1628310,Q3869347,1993
Q3446792,Q13422138,08 September 2021
Q192707,Q1418009,1985
Q776784,Q918054,2015
Q1628310,Q6952971,1992; 1991; 1993
Q1459540,Q290922,1999
Q732350,Q6879778,2012; 2013
Q369532,Q4407211,2017
Q598416,Q1418009,1970
Q732350,Q2404133,2014
Q732350,Q2081740,2014
Q366505,Q31391,1965
Q1166588,Q1641970,1980
Q366505,Q1653207,1961
Q1628310,Q2404133,1993
Q192707,Q7569437,1984
Q1628310,Q2081740,1993
Q192707,Q943106,1994
Q732350,Q4905618,2014
Q505336,Q31391,1955
Q189240,Q845884,2008
Q372389,Q1418009,1995
Q732350,Q2359022,2014
Q5006560,Q1125399,2016
Q371821,Q1501719,2010
Q1628310,Q4906518,1993
Q316179,Q739499,1983
Q366505,Q1418009,1964
Q1628310,Q2359022,1993
Q366505,Q644357,1964
Q352114,Q13422138,08 September 2021
Q505336,Q918054,1972
Q1159084,Q1501719,1985
Q732350,Q3625678,2014
Q192707,Q31391,1991
Q520424,Q4904894,2003
Q368561,Q674359,1961
Q368561,Q674359,1955
Q368561,Q674359,1962
Q368561,Q674359,1956
Q368561,Q674359,1963
Q368561,Q674359,1964
Q368561,Q674359,1957
Q368561,Q674359,1958
Q368561,Q674359,1959
Q368561,Q674359,1960
Q317209,Q674359,1996
Q317209,Q674359,1995
Q317209,Q674359,1997
Q352696,Q4904894,2008
Q339256,Q4896608,2011
Q20714917,Q7122259,2016
Q368561,Q222047,1956
Q368561,Q222047,1959
Q368561,Q644357,1955
Q339256,Q918054,2002
Q16227726,Q4906518,2015
Q298512,Q31391,1986
Q298512,Q31391,1984
Q352110,Q31391,1980
Q317209,Q1418009,1994
Q348696,Q1465181,1975
Q348696,Q1465181,1974
Q348696,Q1465181,1973
Q348696,Q1465181,1972
Q348696,Q1465181,1971
Q348696,Q1465181,1969
Q348696,Q1465181,1970
Q348696,Q674359,1972
Q348696,Q674359,1970
Q348696,Q674359,1975
Q348696,Q674359,1974
Q297146,Q845884,2012
Q270966,Q4896742,2005
Q203286,Q1501719,1991
Q16227726,Q21517440,2015
Q368561,Q31391,1962
Q368561,Q31391,1956
Q368561,Q31391,1958
Q368561,Q31391,1959
Q311546,Q6952971,2005
Q311546,Q1749049,2005
Q16227726,Q3625678,2015
Q317209,Q5599569,1993
Q317209,Q5599569,1992
Q298512,Q674359,1984
Q298512,Q674359,1986
Q298512,Q674359,1985
Q310968,Q674359,1999
Q270966,Q1501719,2004
Q10345591,Q3304648,2013
Q298512,Q1418009,1982
Q352110,Q674359,1982
Q352110,Q674359,1981
Q352110,Q674359,1980
Q352110,Q674359,1979
Q352110,Q674359,1978
Q311546,Q3625678,2005
Q16227726,Q1641970,2015
Q316577,Q106122868,2009
Q16227726,Q2666769,2015
Q311546,Q1641970,2005
Q298512,Q739499,1990
Q16227726,Q3869347,2015
Q28972128,Q4816371,2018
Q311546,Q2666769,2005
Q370006,Q4904894,2002
Q20714917,Q1749049,2016
Q311546,Q3869347,2005
Q20714917,Q21517440,2016
Q310968,Q845884,2000
Q310968,Q845884,1999
Q21294876,Q13422138,08 September 2021
Q317209,Q16251407,1993
Q317209,Q16251407,1993
Q311546,Q6925428,2005
Q310968,Q1465181,2000
Q310968,Q1465181,1999
Q298512,Q1501719,1987
Q310968,Q1501719,2002
Q348696,Q1418009,1968
Q28972128,Q3304648,2018
Q16227726,Q2404133,2015
Q16227726,Q2081740,2015
Q203286,Q1125399,1989
Q297146,Q1465181,2013
Q310968,Q1418009,1993
Q311546,Q2404133,2005
Q23542695,Q7865896,2017
Q348696,Q31391,1975
Q352696,Q644357,2009
Q107354848,Q4906518,2022
Q193020,Q1465181,2002
Q193020,Q1465181,2001
Q193020,Q1465181,2008
Q193020,Q1465181,2007
Q193020,Q1465181,2000
Q193020,Q1465181,1999
Q193020,Q1465181,2005
Q193020,Q1465181,2003
Q193020,Q674359,2007
Q193020,Q674359,2013
Q193020,Q674359,2000
Q193020,Q674359,1999
Q193020,Q674359,2005
Q193020,Q674359,1998
Q193020,Q674359,2004
Q193020,Q674359,2003
Q193020,Q674359,2002
Q193020,Q674359,2001
Q79052337,Q4906518,2020
Q79052337,Q4906518,2021
Q79052337,Q2666769,2021
Q193020,Q1418009,1998
Q94846,Q1418009,1990
Q201608,Q845884,1991
Q201608,Q845884,1990
Q193052,Q1139785,2021
Q193052,Q1501719,2012
Q136816,Q1418009,2005
Q201608,Q1465181,1992
Q201608,Q1465181,1990
Q201608,Q1465181,1996
Q201608,Q1465181,1995
Q201608,Q1465181,1993
Q201608,Q1465181,1991
Q201608,Q1465181,1989
Q221341,Q1418596,2013
Q221341,Q1418596,2012
Q201608,Q385186,1997
Q136816,Q739499,2015
Q221341,Q1465181,2002
Q221341,Q1465181,2001
Q221341,Q1465181,1999
Q221341,Q1465181,2006
Q193020,Q31391,2000
Q221341,Q674359,2000
Q221341,Q674359,1999
Q221341,Q674359,2004
Q221341,Q674359,2002
Q221341,Q674359,2001
Q193052,Q28710767,2006
Q193052,Q28710767,2001
Q193020,Q739499,2005
Q193020,Q739499,1999
Q193020,Q739499,2003
Q31683,Q4835493,2013
Q193052,Q1418009,2002
Q193020,Q1653207,2003
Q193052,Q644357,2002
Q193052,Q3320370,2015
Q79052337,Q2404133,2021
Q79052337,Q2081740,2021
Q79052337,Q2081740,2020
Q193020,Q16827133,1997
Q31683,Q739499,2006
Q193020,Q943106,2000
Q193020,Q943106,2003
Q193052,Q6008386,2017
Q193052,Q4894169,2001
Q136816,Q1465181,2014
Q193052,Q4407211,2009; 2015
Q193020,Q13425905,2015
Q193020,Q222047,2003
Q193020,Q222047,2002
Q201608,Q1535145,1997
Q31683,Q4896598,2005
Q31683,Q943106,2006
Q31683,Q674359,2010
Q31683,Q674359,2009
Q31683,Q1418009,2004
Q193052,Q30860334,2007
Q193052,Q39946570,2017
Q193020,Q644357,27 April 1998
Q242185,Q17144,2011
Q221341,Q1418009,1995
Q79052337,Q3625678,2021
Q31683,Q31391,2010
Q58590,Q63307285,18 December 2018
Q31683,Q1653207,2006
Q94846,Q1501719,2000
Q193020,Q1641970,1997
Q79052337,Q1641970,2021
Q3993198,Q23038226,2007
Q460193,Q16829557,2009
Q443412,Q4904894,2004
Q288853,Q290922,2012
Q3993198,Q6197497,2007
Q357458,Q674359,1965
Q357458,Q674359,1959
Q357458,Q674359,1960
Q357458,Q674359,1967
Q357458,Q674359,1968
Q357458,Q674359,1961
