wikidata_id:ID(Player),name,enwiki_title,country_of_citizenship,place_of_birth,native_language,sex_or_gender,date_of_birth,height,mass,work_period_start,work_period_end,nickname,handedness,schools_attended
Q459471,Brian Scalabrine,Brian Scalabrine,United States of America,Long Beach,English,male,18 March 1978,206 centimetre,107 kilogram,2001,2012,,,Enumclaw High School; University of Southern California; Highline College
Q461407,T. J. Ford,T. J. Ford,United States of America,Houston,,male,24 March 1983,183 centimetre,75 kilogram,2003,2012,,,Willowridge High School; University of Texas at Austin
Q280376,Rolando Blackman,Rolando Blackman,Panama; United States of America,Panama City,English,male,26 February 1959,198 centimetre,86 kilogram,1981,1997,,,Kansas State University; William E. Grady CTE High School
Q296403,Lamar Odom,Lamar Odom,United States of America,Jamaica,English,male,06 November 1979,208 centimetre,100 kilogram,1999,,L.O.; The Goods; Candy Man,,Christ the King Regional High School; University of Rhode Island; United States Army War College
Q343746,İlkan Karaman,%C4%B0lkan Karaman,Turkey,Istanbul,Turkish,male,13 May 1990,2.06 metre,115 kilogram,2007,,,,
Q371250,Sasha Kaun,Sasha Kaun,Russia,Tomsk,,male,08 May 1985,211 centimetre,111 kilogram,2008,2016,,,University of Kansas; Florida Preparatory Academy
Q377721,Thabo Sefolosha,Thabo Sefolosha,Switzerland,Vevey,,male,02 May 1984,201 centimetre,100 kilogram,2001,,,,
Q460193,Tom Heinsohn,Tom Heinsohn,United States of America,Jersey City,English,male,26 August 1934,201 centimetre,99 kilogram,1956,1965,,,College of the Holy Cross; Saint Michael's School
Q337370,John Wall,John Wall,United States of America,Raleigh,English,male,06 September 1990,193 centimetre,89 kilogram,2010,,,,University of Kentucky; Word of God Christian Academy; Garner Magnet High School; Needham B. Broughton High School
Q144703,Kevin Willis,Kevin Willis,United States of America,Los Angeles,English,male,06 September 1962,213 centimetre,100 kilogram,1984,2007,,,Pershing High School; Michigan State University
Q318916,Michael Finley,Michael Finley,United States of America,Melrose Park,English,male,06 March 1973,201 centimetre,98 kilogram,1995,2010,Fin Dawg,,University of Wisconsin–Madison; Proviso East High School
Q72252,Elias Harris,Elias Harris,Germany,Speyer,,male,06 July 1989,203 centimetre; 201 centimetre,108 kilogram,2005,,,,Gonzaga University
Q94846,Vlade Divac,Vlade Divac,Serbia,Prijepolje,,male,03 February 1968,217 centimetre,118 kilogram,1983,2005,,,
Q337729,Glen Davis,Glen Davis (basketball),United States of America,Baton Rouge,English,male,01 January 1986,206 centimetre,131 kilogram,2007,,,,Louisiana State University Laboratory School; Louisiana State University
Q295364,Ben Wallace,Ben Wallace (basketball),United States of America,White Hall,English,male,10 September 1974,206 centimetre,109 kilogram,1996,2012,,,Virginia Union University; Cuyahoga Community College
Q136816,Andre Iguodala,Andre Iguodala,United States of America,Springfield,English,male,28 January 1984,198 centimetre,98 kilogram,2004,,,,University of Arizona; Lanphier High School
Q372389,Brian Grant,Brian Grant,United States of America,Columbus,English,male,05 March 1972,206 centimetre,115 kilogram,1994,2006,,,Xavier University; Georgetown Junior/Senior High School
Q71127,John Havlicek,John Havlicek,United States of America,Martins Ferry,English,male,08 April 1940,196 centimetre,92 kilogram,1962,1978,,,Bridgeport High School; Ohio State University
Q71980,Charlie Ward,Charlie Ward,United States of America,Thomasville,English,male,12 October 1970,188 centimetre,86 kilogram,1994,2005,,,Florida State University; Thomas County Central High School
Q372341,Jason Williams,"Jason Williams (basketball, born 1975)",United States of America,Charleston,English,male,18 November 1975,185 centimetre,86 kilogram,1998,2011,J-Will; J-Dub; The White Shadow; White Folks; White Chocolate; Duck; Showtime,,Marshall University; University of Florida; DuPont High School; Riverside High School
Q142214,Dino Rađa,Dino Ra%C4%91a,Croatia; Socialist Federal Republic of Yugoslavia,Split,,male,24 April 1967,211 centimetre,120 kilogram,,2003,,,
Q277780,Peja Stojaković,Peja Stojakovi%C4%87,Socialist Federal Republic of Yugoslavia; Serbia; Greece; Serbia and Montenegro,Požega,,male,09 June 1977,206 centimetre,100 kilogram,1992,2011,,,
Q278116,Carlos Delfino,Carlos Delfino,Argentina,Santa Fe,,male,29 August 1982,198 centimetre,104 kilogram,1998,,,,
Q317527,Boris Diaw,Boris Diaw,France,Cormeilles-en-Parisis,,male,16 April 1982,203 centimetre,113 kilogram,2001,2018,Bobo,,INSEP
Q321576,Jack Molinas,Jack Molinas,United States of America,New York City,English,male,31 October 1931,198 centimetre,91 kilogram,1953,1954,,,Columbia University; Stuyvesant High School
Q370572,Adrian Griffin,Adrian Griffin,United States of America,Wichita,English,male,04 July 1974,196 centimetre,98 kilogram,1996,2008,,,Seton Hall University; Wichita East High School
Q380006,Darius Songaila,Darius Songaila,Lithuania,Marijampolė,,male,14 February 1978,206 centimetre,113 kilogram,2002,2015,,,Wake Forest University; New Hampton School
Q278594,A. C. Green,A.C. Green,United States of America,Portland,,male,04 October 1963,206 centimetre,100 kilogram,1985,2001,,,Benson Polytechnic High School; Oregon State University
Q280437,Mario Kasun,Mario Kasun,Croatia,Vinkovci,,male,05 April 1980,213 centimetre,117 kilogram,1996,2014,,,
Q282290,Buddy Jeannette,Buddy Jeannette,United States of America,New Kensington,English,male,15 September 1917,180 centimetre,80 kilogram,1938,1950,,,Washington & Jefferson College
Q455831,Jonas Jerebko,Jonas Jerebko,Sweden,Borås,,male,02 March 1987,206 centimetre,105 kilogram,2005,,,,
Q460507,Predrag Danilović,Predrag Danilovi%C4%87,Yugoslavia,Sarajevo,,male,26 February 1970,196 centimetre,91 kilogram,1988,2000,Sasha,,Cookeville High School
Q371821,Samuel Dalembert,Samuel Dalembert,Canada; Haiti,Port-au-Prince,,male,10 May 1981,211 centimetre,114 kilogram,2001,2017,,,St. Patrick High School; Seton Hall University
Q281499,Larry Steele,Larry Steele,United States of America,Greencastle,English,male,05 May 1949,196 centimetre,82 kilogram,1971,1980,,,University of Kentucky
Q455757,Kyrylo Fesenko,Kyrylo Fesenko,Ukraine,Dnipro,,male,24 December 1986,216 centimetre,130 kilogram,2003,,,,
Q456702,Troy Murphy,Troy Murphy,United States of America,Morristown,English,male,02 May 1980,211 centimetre,111 kilogram,2001,2012,,,Delbarton School; University of Notre Dame; Columbia University School of General Studies
Q460246,Brandon Bass,Brandon Bass,United States of America,Baton Rouge,English,male,30 April 1985,203 centimetre,108 kilogram,2005,,,,Louisiana State University
Q372180,Ron Harper,Ron Harper,United States of America,Dayton,English,male,20 January 1964,198 centimetre,84 kilogram,1986,2001,,,Miami University
Q82004,Bobby Brown,Bobby Brown (basketball),United States of America,Los Angeles,English,male,24 September 1984,188 centimetre,80 kilogram; 79 kilogram,2007,,,,"California State University, Fullerton; Westchester Enriched Sciences Magnets"
Q83554,Dwight Buycks,Dwight Buycks,United States of America,Milwaukee,English,male,06 March 1989,191 centimetre,86 kilogram,2011,,,,Bay View High School; Marquette University
Q376173,Chris Copeland,Chris Copeland,United States of America,Orange,English,male,17 March 1984,203 centimetre,102 kilogram,2007,,,,University of Colorado Boulder; Hermitage High School
Q274469,Rajon Rondo,Rajon Rondo,United States of America,Louisville,English,male,22 February 1986,185 centimetre,84 kilogram,2006,,,,University of Kentucky; Eastern High School
Q275889,Marc Gasol,Marc Gasol,Spain,Barcelona,Catalan,male,29 January 1985,216 centimetre,120 kilogram,2003,,La Tanqueta / Big Marc,,Lausanne Collegiate School
Q317583,Gerald Wallace,Gerald Wallace,United States of America,Sylacauga,English,male,23 July 1982,202 centimetre,100 kilogram,2001,2015,,,University of Alabama
Q348598,Joe Dumars,Joe Dumars,United States of America,Shreveport,English,male,24 May 1963,190 centimetre,86 kilogram,1985,1999,,,McNeese State University; Natchitoches Central High School
Q297221,Kevin Love,Kevin Love,United States of America,Santa Monica,English,male,07 September 1988,203 centimetre,118 kilogram,2008,,,,"Lake Oswego High School; University of California, Los Angeles"
Q70486,Tim Ohlbrecht,Tim Ohlbrecht,Germany,Wuppertal,,male,30 August 1988,210 centimetre,98 kilogram; 114 kilogram,2005,,,,
Q77044,Chris Kaman,Chris Kaman,Germany; United States of America,Grand Rapids,English,male,28 April 1982,213 centimetre,120 kilogram,2003,2016,,,Central Michigan University
Q370561,Michael Dickerson,Michael Dickerson,United States of America,Greenville,English,male,25 June 1975,196 centimetre,86 kilogram,1998,2010,,,University of Arizona; Federal Way High School
Q372408,Harvey Grant,Harvey Grant,United States of America,Augusta,English,male,04 July 1965,203 centimetre,89 kilogram,1988,1999,G-Man; The General,,Independence Community College; Clemson University; University of Oklahoma
Q318908,Ben Gordon,Ben Gordon,United Kingdom,London,,male,04 April 1983,191 centimetre,91 kilogram,2004,2017,,,University of Connecticut
Q376523,Ryan Hollins,Ryan Hollins,United States of America,Pasadena,English,male,10 October 1984,213 centimetre,104 kilogram,2006,2017,,,"University of California, Los Angeles; John Muir High School"
Q297474,Ömer Aşık,%C3%96mer A%C5%9F%C4%B1k,Turkey,Bursa,,male,04 July 1986,213 centimetre,116 kilogram,2005,,Aşik and Destroy; The SuperBull from Istanbul; The Turkish Hammer,,
Q112449,Stacey King,Stacey King,United States of America,Lawton,English,male,29 January 1967,211 centimetre,105 kilogram,1989,1999,Pearl; Sky,,University of Oklahoma; Lawton High School
Q139376,Zach Randolph,Zach Randolph,United States of America,Marion,English,male,16 July 1981,206 centimetre,118 kilogram,2001,,,,Michigan State University; Marion High School
Q70386,Chris Welp,Chris Welp,Germany,Delmenhorst,,male,02 January 1964,213 centimetre,111 kilogram,1987,1999,,,University of Washington; Olympic High School
Q451780,"Nate ""Tiny"" Archibald",Nate Archibald,United States of America,New York City,English,male,02 September 1948,185 centimetre,68 kilogram,1970,1984,,,Arizona Western College; University of Texas at El Paso; DeWitt Clinton High School; Fordham University
Q84553,Frido Frey,Frido Frey,Germany,Germany,,male,26 October 1921,188 centimetre,88 kilogram,1945,1949,,,Long Island University
Q463074,Jake Tsakalidis,Jake Tsakalidis,Georgia; Greece,Rustavi,,male,10 June 1979,218 centimetre,130 kilogram,1996,2008,,,
Q339988,Leon Douglas,Leon Douglas,United States of America,Leighton,English,male,26 August 1954,208 centimetre,105 kilogram,1976,1992,,,University of Alabama
Q132208,Joe Johnson,Joe Johnson (basketball),United States of America,Little Rock,English,male,29 June 1981,201 centimetre,109 kilogram,2001,,,,Little Rock Central High School; University of Arkansas
Q297750,Arvydas Sabonis,Arvydas Sabonis,Lithuania; Soviet Union,Kaunas,,male,19 December 1964,222 centimetre,127 kilogram,1981,2005,,,
Q93587,James Augustine,James Augustine,United States of America,Midlothian,English,male,27 February 1984,208 centimetre,107 kilogram,2006,2018,Augie,,Lincoln-Way Central High School; University of Illinois at Urbana–Champaign
Q297146,Tyson Chandler,Tyson Chandler,United States of America,Hanford,English,male,02 October 1982,218 centimetre,109 kilogram,2001,,,,Manuel Dominguez High School
Q319614,Zaza Pachulia,Zaza Pachulia,Georgia; Turkey,Tbilisi,Turkish,male,10 February 1983,211 centimetre,129 kilogram,1999,2019,,,
Q463200,Steve Smith,Steve Smith (basketball),United States of America,Highland Park,English,male,31 March 1969,203 centimetre,91 kilogram,1991,2005,,,Michigan State University; Pershing High School
Q376586,Ryan Anderson,"Ryan Anderson (basketball, born 1988)",United States of America,Sacramento,English,male,06 May 1988,208 centimetre,106 kilogram,2008,,Salary Man,,"Oak Ridge High School; University of California, Berkeley"
Q339256,Rick Carlisle,Rick Carlisle,United States of America,Ogdensburg,English,male,27 October 1959,196 centimetre,95 kilogram,1984,1989,Flip,,University of Maine; Worcester Academy
Q298496,Deron Williams,Deron Williams,United States of America,Parkersburg,English,male,26 June 1984,191 centimetre,91 kilogram,2005,,D-Will,,The Colony High School; University of Illinois at Urbana–Champaign
Q380812,Andris Biedriņš,Andris Biedri%C5%86%C5%A1,Latvia,Riga,,male,02 April 1986,211 centimetre,111 kilogram,2002,2014,,,
Q381746,Monta Ellis,Monta Ellis,United States of America,Jackson,English,male,26 October 1985,190 centimetre,84 kilogram,2005,,,,Lanier High School
Q335762,Pat Riley,Pat Riley,United States of America,Rome,English,male,20 March 1945,193 centimetre,93 kilogram,1967,1976,,,University of Kentucky; Schenectady High School
Q352093,Doc Rivers,Doc Rivers,United States of America,Chicago,English,male,13 October 1961,193 centimetre,84 kilogram,1983,1996,,,Proviso East High School; Marquette University
Q373938,Victor Alexander,Victor Alexander,United States of America,Detroit,English,male,31 August 1969,206 centimetre,120 kilogram,1991,2004,,,Iowa State University; Denby High School
Q294788,Andrei Kirilenko,Andrei Kirilenko,Russia; United States of America; Soviet Union,Izhevsk,English,male,18 February 1981,209 centimetre,102 kilogram,1997,2015,AK-47,,
Q374536,Rik Smits,Rik Smits,Kingdom of the Netherlands,Eindhoven,,male,23 August 1966,224 centimetre,114 kilogram,1988,2000,,,Marist College
Q352159,Stephen Curry,Stephen Curry,United States of America,Akron,English,male,14 March 1988,188 centimetre,86 kilogram,2009,,"Steph, Chef Curry, Splash Brother",right-handedness,Charlotte Christian School; Davidson College; Davidson College
Q456776,Wes Unseld,Wes Unseld,United States of America,Louisville,English,male,14 March 1946,201 centimetre,111 kilogram,1968,1981,,,Seneca High School MCA; University of Louisville
Q375189,Erazem Lorbek,Erazem Lorbek,Slovenia,Ljubljana,,male,21 February 1984,208 centimetre,113 kilogram,1999,2018,,,Michigan State University
Q375230,Zaid Abdul-Aziz,Zaid Abdul-Aziz,United States of America,Brooklyn,English,male,07 April 1946,206 centimetre,107 kilogram,1968,1978,,,John Jay Educational Campus; Iowa State University
Q375525,Kyle Korver,Kyle Korver,United States of America,Lakewood,English,male,17 March 1981,201 centimetre,96 kilogram,2003,,,,Creighton University
Q464312,DeMarcus Cousins,DeMarcus Cousins,United States of America,Mobile,English,male,13 August 1990,211 centimetre,122 kilogram,2010,,Boogie,,LeFlore Magnet High School; University of Kentucky
Q380802,Rick Fox,Rick Fox,Canada,Toronto,,male,24 July 1969,201 centimetre,104 kilogram,1991,2004,,,University of North Carolina at Chapel Hill; University of North Carolina at Chapel Hill; Warsaw Community High School
Q384989,Elmore Spencer,Elmore Spencer,United States of America,Atlanta,English,male,06 December 1969,213 centimetre,123 kilogram,1992,2001,,,University of Georgia; Washington High School
Q489158,Jackson Vroman,Jackson Vroman,Lebanon; United States of America,Laguna,English,male,06 June 1981,208 centimetre,100 kilogram,2004,2015,,,Iowa State University; Viewmont High School
Q463212,David Lee,David Lee (basketball),United States of America,St. Louis,English,male,29 April 1983,206 centimetre,113 kilogram,2005,2017,,,Chaminade College Preparatory School; University of Florida; John Burroughs School
Q493027,Andray Blatche,Andray Blatche,United States of America,Syracuse,English,male,22 August 1986,211 centimetre,107 kilogram,2005,,,,South Kent School; Henninger High School
Q456766,Paul Arizin,Paul Arizin,United States of America,Philadelphia,English,male,09 April 1928,193 centimetre,86 kilogram,1950,1965,,,Villanova University; La Salle College High School
Q459463,Charlie Villanueva,Charlie Villanueva,Dominican Republic; United States of America,Queens,English,male,24 August 1984,211 centimetre,109 kilogram,2005,2016,,,University of Connecticut; Newtown High School; Blair Academy
Q472790,Brent Barry,Brent Barry,United States of America,Hempstead,English,male,31 December 1971,198 centimetre,95 kilogram,1995,2009,,,De La Salle High School; Oregon State University
Q386736,Will Barton,Will Barton,United States of America,Baltimore,English,male,06 January 1991,196 centimetre,77 kilogram,2012,,,,University of Memphis; Brewster Academy; Lake Clifton Eastern High School
Q380541,Mike Miller,"Mike Miller (basketball, born 1980)",United States of America,Mitchell,English,male,19 February 1980,203 centimetre,99 kilogram,2000,2017,Mike,,University of Florida; Mitchell High School
Q150327,Danny Ferry,Danny Ferry,United States of America,Baltimore,English,male,17 October 1966,208 centimetre,100 kilogram,1989,2003,,,Duke University; DeMatha Catholic High School
Q121647,Paul Pierce,Paul Pierce,United States of America,Oakland,English,male,13 October 1977,201 centimetre,107 kilogram,1998,2017,,,University of Kansas; Inglewood High School
Q125060,Sergio Rodríguez,Sergio Rodr%C3%ADguez,Spain,Santa Cruz de Tenerife,,male,12 June 1986,192 centimetre,76 kilogram,2003,,,,
Q129041,Carmelo Anthony,Carmelo Anthony,United States of America,Brooklyn,English,male,29 May 1984,203 centimetre,108 kilogram; 220 pound,2003,2023,,,Syracuse University; Towson Catholic High School; Oak Hill Academy
Q131942,Kendrick Perkins,Kendrick Perkins,United States of America,Nederland,English,male,10 November 1984,208 centimetre,120 kilogram,2003,2018,,,Clifton J. Ozen High School; Beaumont Independent School District
Q163754,Johnny Rogers,Johnny Rogers,Spain; United States of America,Fullerton,English,male,30 December 1963,208 centimetre,102 kilogram,1986,2004,,,Stanford University
Q169452,Shaquille O'Neal,Shaquille O%27Neal,United States of America,Newark,English,male,06 March 1972,2.16 metre,147 kilogram,1993,2011,Diesel; Shaqqy; Shaq,right-handedness,Barry University; New York Film Academy; Louisiana State University; Louisiana State University; University of Phoenix; Robert G. Cole Junior-Senior High School; Syracuse University
Q175441,Rashard Lewis,Rashard Lewis,United States of America,Pineville,English,male,08 August 1979,208 centimetre,104 kilogram,1998,2014,,,Alief Elsik High School
Q301863,Mark Blount,Mark Blount,United States of America,Yonkers,English,male,30 November 1975,211 centimetre,107 kilogram,1997,2010,,,University of Pittsburgh; Summerville High School
Q302068,Aaron Gray,Aaron Gray,United States of America,Tarzana,English,male,07 December 1984,213 centimetre,123 kilogram,2007,2014,,,Emmaus High School; University of Pittsburgh
Q324842,Danny Schayes,Danny Schayes,United States of America,Syracuse,English,male,10 May 1959,211 centimetre,107 kilogram,1981,1999,,,Syracuse University; Jamesville-DeWitt High School
Q325977,Luther Green,Luther Green,United States of America,New York City,English,male,13 November 1946,201 centimetre,86 kilogram,1969,1979,,,Long Island University; DeWitt Clinton High School
Q115509,Reggie Geary,Reggie Geary,United States of America,Trenton,English,male,31 August 1973,188 centimetre,85 kilogram,1996,2004,,,University of Arizona; Mater Dei High School
Q351802,Jerry Stackhouse,Jerry Stackhouse,United States of America,Kinston,English,male,05 November 1974,198 centimetre,99 kilogram,1995,2013,,,Kinston High School; University of North Carolina at Chapel Hill
Q352073,Shareef Abdur-Rahim,Shareef Abdur-Rahim,United States of America,Marietta,English,male,11 December 1976,202 centimetre,102 kilogram,1996,2008,,,"University of California; Joseph Wheeler High School; University of California, Berkeley"
Q352118,Mo Williams,Mo Williams,United States of America,Jackson,English,male,19 December 1982,185 centimetre,90 kilogram,2003,2017,,,University of Alabama; Murrah High School
Q352168,Tiago Splitter,Tiago Splitter,Brazil,Blumenau,,male,01 January 1985,211 centimetre,111 kilogram,1999,2017,,,
Q161817,Dahntay Jones,Dahntay Jones,United States of America,Trenton,English,male,27 December 1980,198 centimetre,102 kilogram,2003,2017,,,Duke University; Rutgers University–New Brunswick; Steinert High School
Q380033,Aleksandar Đorđević,Aleksandar %C4%90or%C4%91evi%C4%87,Serbia; Serbia and Montenegro; Federal Republic of Yugoslavia; Socialist Federal Republic of Yugoslavia,Belgrade,,male,26 August 1967,188 centimetre,80 kilogram,1983,2005,,,
