:START_ID(Player),:END_ID(Team),time
Q862328,Q157376,
Q911981,Q169661,
Q918855,Q169637,
Q918916,Q169661,
Q926364,Q169637,
Q928003,Q121783,
Q932833,Q167253,
Q938769,Q138089,
Q941813,Q121783,
Q944029,Q162954,
Q953837,Q138089,
Q953338,Q161345,
Q961491,Q164177,
Q962929,Q162990,
Q964976,Q121783,
Q967072,Q162990,
Q969401,Q131364,
Q948037,Q976396,
Q984367,Q162954,
Q1101719,Q166105,
Q1111983,Q169138,
Q24200,Q163480,
Q40657,Q161345,
Q47073,Q128109,
Q60971,Q159893,
Q17386097,Q167253,2017
Q23541220,Q132880,2016
Q63133148,Q163480,2019
Q3446792,Q162954,2013
Q22958459,Q164177,21 June 2018
Q82831721,Q161337,2021
Q60323818,Q170558,2019
Q55277654,Q128109,25 June 1979
Q29044421,Q162990,2018
Q427428,Q165529,24 June 2010
Q42302125,Q169165,2020
Q22959347,Q169165,2019
Q18685899,Q169661,2016
Q52456473,Q164177,2018
Q24761491,Q169637,2016
Q64010219,Q572134,2019
Q609300,Q169138,2004
Q56513207,Q172339,2019
Q1282320,Q132880,24 June 2010
Q28935742,Q159893,2017
Q24686369,Q138089,2018
Q51337517,Q170558,2018
Q32786169,Q131364,2019
Q18644229,Q162954,2016
Q313479,Q169165,1985
Q5289916,Q161337,2016
Q464312,Q166105,24 June 2010
Q50363033,Q131371,2019
Q645386,Q162990,1996
Q77445037,Q572134,2020
Q3646793,Q131371,01 July 1947
Q369532,Q159729,2008
Q58974788,Q162990,2019
Q2699577,Q166105,2011
Q430263,Q167253,24 June 2010
Q427720,Q976396,24 June 2010
Q62127792,Q170649,2019
Q2419943,Q157376,2005
Q22999836,Q121783,2018
Q30122104,Q162954,2017
Q2458102,Q164177,2003
Q29044852,Q163480,2019
Q60950296,Q121783,2020
Q51683022,Q157376,2018
Q27909430,Q166105,2019
Q64822039,Q166105,2019
Q313479,Q976396,1983
Q55102402,Q132893,2020
Q28925029,Q128109,2018
Q62031912,Q170558,2019
Q76438339,Q162954,2020
Q23771652,Q166105,2016
Q41802407,Q128109,22 June 1987
Q27922413,Q161337,2017
Q647405,Q132893,1999
Q2733947,Q128109,2006
Q30122669,Q159729,2017
Q1459540,Q131371,1964
Q61660709,Q164177,2019
Q936680,Q121783,1973
Q942425,Q128109,2000
Q82831609,Q131371,2020
Q166871,Q163480,2011
Q29045112,Q132893,2018
Q51337300,Q157376,2019
Q64009610,Q172339,2019
Q3643499,Q157376,1985
Q6160398,Q170649,2014
Q58494697,Q128109,2019
Q337370,Q169165,24 June 2010
Q92198887,Q161337,2022
Q47501215,Q169661,2020
Q19577360,Q572134,2018
Q971393,Q976396,2007
Q54860931,Q164177,2019
Q50820763,Q157376,2019
Q27919944,Q131364,2018
Q29545,Q3307390,2007
Q29318958,Q161337,2018
Q33120424,Q159729,1977
Q37486462,Q162954,2019
Q28935925,Q169661,2017
Q56087018,Q180950,2019
Q51120738,Q159729,2019
Q717573,Q131371,24 June 2010
Q47492916,Q131371,2019
Q17038792,Q164177,2016
Q19663167,Q172339,2016
Q55433150,Q180950,2020
Q3616538,Q131364,01 July 1947
Q64744025,Q169661,2019
Q78170313,Q131371,2020
Q32318040,Q131371,2020
Q932863,Q170558,2009
Q80713297,Q132880,2020
Q55368019,Q163480,2019
Q51318989,Q169637,2018
Q29167241,Q169637,2017
Q44741149,Q132880,2019
Q746616,Q180950,24 June 2010
Q1132507,Q128109,
Q1132738,Q169165,
Q1132834,Q169661,
Q1170394,Q169165,
Q1209671,Q121783,
Q1347527,Q157376,
Q1348252,Q169165,
Q1364009,Q170649,
Q1364234,Q170649,
Q1393488,Q128109,
Q1392517,Q166105,
Q1424128,Q131371,
Q1439529,Q164177,
Q1444910,Q161345,
Q1453417,Q157376,
Q1455883,Q170649,
Q1458383,Q121783,
Q1463357,Q169165,
Q1469007,Q976396,
Q1508678,Q169661,
Q1530759,Q165529,
Q1606849,Q132893,
Q1607188,Q128109,
Q1607317,Q131371,
Q1606682,Q157376,
Q1607761,Q167253,
Q1608322,Q157376,
Q1608253,Q161345,
Q1608677,Q162954,
Q1610216,Q169165,
Q1612357,Q132893,
Q1612751,Q159893,
Q1615621,Q138089,
Q1618809,Q121783,
Q1618677,Q159893,
Q1618767,Q170649,
Q1621405,Q161337,
Q1622172,Q159893,
Q1622327,Q169637,
Q1623156,Q167253,
Q1623309,Q162990,
Q1627029,Q128109,
Q1627238,Q121783,
Q1626986,Q138089,
Q1626562,Q157376,
Q1626563,Q169661,
Q1630075,Q167253,
Q1618750,Q572134,
Q1639772,Q132893,
Q1620080,Q976396,
Q1627828,Q976396,
Q1689849,Q163480,
Q1748572,Q170649,
Q2068145,Q157376,
Q2084533,Q170649,
Q2187615,Q167253,
Q2318726,Q159729,
Q2318776,Q169637,
Q2325791,Q159893,
Q2326383,Q162990,
Q2326997,Q159893,
Q2330697,Q169165,
Q2331924,Q161345,
Q2332130,Q161345,
Q2332151,Q169165,
Q2335270,Q131371,
Q2335114,Q161345,
Q2337476,Q131371,
Q2336889,Q166105,
Q2339862,Q131371,
Q2340598,Q131371,
Q2343067,Q131371,
Q2342369,Q162990,
Q2345204,Q131371,
Q2331957,Q572134,
Q2352855,Q167253,
Q2354822,Q162990,
Q2357845,Q162954,
Q2360278,Q164177,
Q2450451,Q170329,
Q2450971,Q157376,
Q2452465,Q169165,
Q2453176,Q170649,
Q2502090,Q166105,
Q2519395,Q161345,
Q2526170,Q161337,
Q2527111,Q166105,
Q2529656,Q161337,
Q2532704,Q163480,
Q2539924,Q169661,
Q2555801,Q159893,
Q2556438,Q170558,
Q2556925,Q166105,
Q2565114,Q159893,
Q2566731,Q157376,
Q2566735,Q167253,
Q2566860,Q169661,
Q2567350,Q166105,
Q2556599,Q572134,
Q2558920,Q976396,
Q2569309,Q172339,
Q2586316,Q157376,
Q2608531,Q131364,
Q2627014,Q132893,
Q2627577,Q159893,
Q2640578,Q180950,
Q2664185,Q170558,
Q2724813,Q132893,
Q2733498,Q131364,
Q2733826,Q159893,
Q2734737,Q170649,
Q2736194,Q131371,
Q2888461,Q169165,
Q3013147,Q162954,
Q3445677,Q976396,
Q3607477,Q121783,
Q3613321,Q164177,
Q3615442,Q162954,
Q3618537,Q162954,
Q3624027,Q166105,
Q3624013,Q169661,
Q3638842,Q164177,
Q3641265,Q131364,
Q3641294,Q138089,
Q3641279,Q159893,
Q3646289,Q161345,
Q3666350,Q131371,
Q3675535,Q166105,
Q3680582,Q131364,
Q3679821,Q164177,
Q3702840,Q163480,
Q3703121,Q166105,
Q3704260,Q164177,
Q3705888,Q161345,
Q3706938,Q131364,
Q3706961,Q169661,
Q3714021,Q162990,
Q3718868,Q169637,
Q3747853,Q162990,
Q3735165,Q572134,
Q3751848,Q157376,
Q3751850,Q169637,
Q3758488,Q169637,
Q3760658,Q131371,
Q3760444,Q138089,
Q3760635,Q169661,
Q3776449,Q159729,
Q3776403,Q170329,
Q3779876,Q167253,
Q3787268,Q169165,
Q3787251,Q170649,
Q3802378,Q169661,
Q3808370,Q121783,
Q3808707,Q131371,
Q3807799,Q159729,
Q3807993,Q169138,
Q3809053,Q162990,
Q3809657,Q159893,
Q3814327,Q128109,
Q3814825,Q128109,
Q3814458,Q169661,
Q3814636,Q170329,
Q3816491,Q169661,
Q3826506,Q157376,
Q3814501,Q976396,
Q3849644,Q167253,
Q3837892,Q572134,
Q3857427,Q164177,
Q3857459,Q166105,
Q3869143,Q170558,
Q3876044,Q164177,
Q3887091,Q161345,
Q3901321,Q161345,
Q3929815,Q128109,
Q3930049,Q131371,
Q3938468,Q170649,
Q3940077,Q121783,
Q3940974,Q131364,
Q3942138,Q121783,
Q3940961,Q159893,
Q3941012,Q161345,
Q3942016,Q159893,
Q3946360,Q159893,
Q3946369,Q169637,
Q3952854,Q128109,
Q3952842,Q169138,
Q3959061,Q138089,
Q3960170,Q128109,
Q3959244,Q167253,
Q3973344,Q161345,
Q3984803,Q138089,
Q3991386,Q157376,
Q3992521,Q131364,
Q3992546,Q159893,
Q3992520,Q167253,
Q3998512,Q159893,
Q4011063,Q157376,
Q4017842,Q159893,
Q3992472,Q976396,
Q4024087,Q513372,
Q18057253,Q161337,
Q4731604,Q162990,
Q180860,Q166105,
Q190152,Q131371,
Q190094,Q138089,
Q192955,Q164177,
Q18373749,Q131364,
Q195168,Q169661,
Q209982,Q167253,
Q264533,Q138089,
Q274469,Q164177,
Q310411,Q162990,
Q313045,Q121783,
Q312643,Q159893,
Q313485,Q170558,
Q314415,Q161337,
Q314614,Q157376,
Q316261,Q167253,
Q317037,Q169165,
Q317583,Q166105,
Q5126418,Q138089,
Q336030,Q166105,
Q348598,Q169661,
Q351032,Q167253,
Q352140,Q132880,
Q357096,Q159893,
Q358108,Q131364,
Q364295,Q169661,
Q370561,Q161345,
Q372408,Q169165,
Q373871,Q169637,
Q377852,Q121783,
Q376523,Q163480,
Q352741,Q976396,
Q382285,Q132893,
Q389136,Q138089,
Q390274,Q131364,
Q439037,Q131371,
Q18619686,Q169165,
Q440121,Q169661,
Q443730,Q161345,
Q451780,Q166105,
Q458124,Q166105,
Q18638186,Q169138,
Q5268445,Q121783,
Q463212,Q131364,
Q463074,Q164177,
Q463200,Q169138,
Q508026,Q138089,
Q516314,Q169661,
Q517350,Q170329,
Q521931,Q159893,
Q526873,Q159893,
Q533101,Q131364,
Q525461,Q976396,
Q552935,Q159893,
Q553228,Q170649,
Q554027,Q169661,
Q555127,Q138089,
Q555198,Q172339,
Q557841,Q161345,
Q558668,Q167253,
Q573600,Q167253,
Q576196,Q169661,
Q18978032,Q169165,
Q5768412,Q138089,
Q14834367,Q131364,
Q10516040,Q170558,
Q19561541,Q131371,
Q19564111,Q170329,
Q19662887,Q131371,
Q10831393,Q165529,
Q6388402,Q159893,
Q29109873,Q128109,
Q6932895,Q121783,
Q7000561,Q169165,
Q17717,Q166105,
Q15937973,Q159893,
Q23943,Q166105,
Q24519,Q165529,
Q48845,Q163480,
Q60478,Q976396,
Q16122809,Q169165,
Q20657373,Q162954,
Q16227425,Q170649,
Q16228087,Q170329,
Q16240120,Q169637,
Q20711122,Q131371,
Q20711111,Q162954,
Q7488132,Q159893,
Q7614435,Q180950,
Q7822525,Q170649,
Q7926203,Q161337,
Q16942249,Q170649,
Q8040740,Q976396,
Q17183020,Q159729,
Q17183216,Q162954,
Q17580192,Q159893,
Q4266611,Q138089,
Q4356763,Q121783,
Q577502,Q161337,
Q581976,Q169637,
Q586182,Q138089,
Q587569,Q170649,
Q611756,Q132893,
Q622213,Q138089,
Q634770,Q159893,
Q634812,Q162954,
Q640300,Q159729,
Q641345,Q128109,
Q649548,Q166105,
Q659284,Q159729,
Q666812,Q121783,
Q671294,Q128109,
Q676808,Q162990,
Q678639,Q167253,
Q680038,Q157376,
Q581074,Q3307390,
Q705206,Q162990,
Q718789,Q172339,
Q735251,Q169165,
Q742049,Q138089,
Q744920,Q170329,
Q662773,Q3307390,
Q764756,Q159893,
Q770083,Q132893,
Q771496,Q164177,
Q775378,Q131364,
Q778308,Q170649,
Q769722,Q572134,
Q893223,Q162990,
Q908715,Q162990,
Q921771,Q170558,
Q924575,Q121783,
Q924913,Q165529,
Q926153,Q131371,
Q929663,Q159893,
Q933952,Q162990,
Q938023,Q157376,
Q941349,Q159729,
Q944821,Q131371,
Q945896,Q157376,
Q948237,Q166105,
Q958366,Q167253,
Q958710,Q161345,
Q961786,Q157376,
Q965431,Q128109,
Q965688,Q128109,
Q952463,Q572134,
Q982558,Q169661,
Q983599,Q138089,
Q984074,Q572134,
Q1032471,Q164177,
Q1076942,Q167253,
Q1121849,Q169661,
Q1132672,Q169138,
Q1112016,Q976396,
Q1167795,Q166105,
Q1173006,Q169165,
Q1260757,Q159893,
Q1266392,Q138089,
Q1267622,Q166105,
Q1354036,Q138089,
Q1362580,Q132880,
Q1377443,Q169138,
Q1385557,Q170329,
Q1386659,Q161345,
Q1390262,Q161345,
Q1390766,Q166105,
Q1424495,Q128109,
Q1424397,Q163480,
Q1439541,Q159729,
Q1445196,Q128109,
Q1458255,Q161345,
Q1458320,Q170329,
Q1463192,Q163480,
Q1463719,Q169661,
Q1560424,Q166105,
Q1590021,Q167253,
Q1606675,Q121783,
Q1606859,Q121783,
Q1607991,Q128109,
Q1608479,Q138089,
Q1608898,Q157376,
Q1609491,Q169661,
Q1617065,Q138089,
Q1616709,Q157376,
Q1616754,Q157376,
Q1616801,Q159729,
Q1616732,Q170649,
Q1617800,Q161337,
Q1617911,Q161345,
Q1617925,Q161345,
Q1619249,Q157376,
Q1621428,Q128109,
Q1621720,Q128109,
Q1622114,Q121783,
Q1621417,Q170649,
Q1616777,Q976396,
Q1619365,Q976396,
Q1622734,Q121783,
Q1622122,Q157376,
Q1622153,Q170329,
Q1623147,Q157376,
Q1623189,Q157376,
Q1622889,Q169661,
Q1626844,Q131364,
Q1626442,Q159893,
Q1626618,Q162990,
Q1626497,Q170329,
Q1627361,Q163480,
Q1628889,Q121783,
Q1629965,Q169637,
Q1632186,Q128109,
Q1632215,Q161337,
Q1632228,Q162954,
Q1634599,Q170649,
Q1636927,Q131364,
Q1638149,Q161337,
Q1626424,Q976396,
Q1630655,Q976396,
Q1683887,Q169637,
Q2241186,Q163480,
Q2308671,Q162954,
Q2309496,Q169165,
Q2317040,Q169165,
Q2319183,Q121783,
Q2318539,Q159729,
Q2326677,Q131364,
Q2327023,Q167253,
Q2326977,Q169661,
Q2327180,Q169637,
Q2329287,Q121783,
Q2329828,Q166105,
Q2331939,Q131364,
Q2331010,Q169661,
Q2333148,Q121783,
Q2332410,Q161345,
Q2334128,Q161345,
Q2334047,Q166105,
Q2338196,Q131371,
Q2329803,Q572134,
Q2344573,Q159893,
Q2350312,Q169637,
Q2355167,Q170649,
Q2400019,Q131371,
Q2308704,Q3307390,
Q2419803,Q166105,
Q2332240,Q2928124,
Q2529214,Q572134,
Q2555611,Q165529,
Q2561896,Q159893,
Q2565032,Q131364,
Q2565064,Q169165,
Q2566919,Q128109,
Q2566442,Q166105,
Q2558243,Q976396,
Q2589648,Q132893,
Q2604182,Q131364,
Q2625359,Q159893,
Q2627251,Q170329,
Q2642159,Q172339,
Q2700323,Q157376,
Q2701571,Q131371,
Q2714935,Q169661,
Q2739148,Q162990,
Q2897012,Q159893,
Q3194911,Q132893,
Q3559659,Q169661,
Q3569388,Q164177,
Q3613451,Q164177,
Q3618485,Q164177,
Q3624252,Q159893,
Q3639960,Q157376,
Q3640007,Q157376,
Q3639953,Q159893,
Q3641333,Q157376,
Q3641291,Q159893,
Q3641335,Q159893,
Q3641356,Q166105,
Q3646218,Q132893,
Q3645499,Q157376,
Q3658565,Q170649,
Q3664160,Q159893,
Q3665714,Q162990,
Q3666618,Q166105,
Q3666689,Q167253,
Q3675554,Q157376,
Q3675471,Q161337,
Q3680667,Q121783,
Q3699432,Q159893,
Q3701374,Q132893,
Q3701497,Q166105,
Q3703054,Q128109,
Q3703027,Q131364,
Q3703053,Q131371,
Q3703896,Q131364,
Q3703301,Q170649,
Q3706949,Q128109,
Q3641332,Q2928124,
Q29342,Q121783,
Q42079,Q128109,
Q60118,Q131364,
Q65039,Q162990,
Q4120761,Q513372,
Q22005682,Q157376,
Q4490728,Q131371,
Q13605975,Q170558,
Q4732527,Q131364,
Q18158796,Q169165,
Q4821393,Q131364,
Q4977398,Q166105,
Q5228882,Q157376,
Q5256411,Q131364,
Q14324145,Q159893,
Q5482711,Q513372,
Q5525214,Q128109,
Q5586369,Q170649,
Q5837659,Q121783,
Q6197670,Q138089,
Q6199952,Q159893,
Q19605398,Q121783,
Q72353,Q162990,
Q6372315,Q170558,
Q6387364,Q170649,
Q6402649,Q131364,
Q10917065,Q132893,
Q19881847,Q170649,
Q19973718,Q169637,
Q6922982,Q169661,
Q29281952,Q131371,
Q16236789,Q169637,
Q20979199,Q172339,
Q21039421,Q976396,
Q16730417,Q162990,
Q21260552,Q170649,
Q16910147,Q162954,
Q3706956,Q170329,
Q3713595,Q138089,
Q3718838,Q138089,
Q3748456,Q159729,
Q3752620,Q166105,
Q3759430,Q169637,
Q3760872,Q131371,
Q3760461,Q169661,
Q3760553,Q169637,
Q3760626,Q169165,
Q3775791,Q167253,
Q3776411,Q164177,
Q3783483,Q161345,
Q3805708,Q128109,
Q3805632,Q166105,
Q3808336,Q121783,
Q3808701,Q131364,
Q3808386,Q159893,
Q3808114,Q169661,
Q3808335,Q166105,
Q3808382,Q170329,
Q3809703,Q131371,
Q3809081,Q159893,
Q3809213,Q170649,
Q3809519,Q169661,
Q3814335,Q128109,
Q3814492,Q131364,
Q3814512,Q161345,
Q3814814,Q167253,
Q3815277,Q167253,
Q3827135,Q131364,
Q3838976,Q132893,
Q3849433,Q162954,
Q3849539,Q170329,
Q3854072,Q169165,
Q3857364,Q128109,
Q3857391,Q131364,
Q3862090,Q159893,
Q3857437,Q572134,
Q3808305,Q2928124,
Q3930034,Q162990,
Q3931724,Q169661,
Q3931731,Q167253,
Q3935021,Q121783,
Q3934732,Q164177,
Q3934740,Q169165,
Q3935041,Q164177,
Q3934866,Q170329,
Q17306022,Q167253,
Q3941143,Q162954,
Q3940982,Q169661,
Q3934757,Q976396,
Q3962534,Q169165,
Q3973345,Q162990,
Q3973366,Q164177,
Q3973462,Q162990,
Q3992239,Q131371,
Q3992485,Q138089,
Q3993254,Q131364,
Q3993237,Q169661,
Q4017908,Q157376,
Q4018612,Q157376,
Q4020223,Q162954,
Q125060,Q164177,
Q129041,Q162954,
Q131942,Q165529,
Q163754,Q166105,
Q169452,Q161337,
Q182455,Q157376,
Q199896,Q170649,
Q209921,Q169637,
Q213132,Q159729,
Q240278,Q169661,
Q241261,Q157376,
Q271933,Q131364,
Q273256,Q161345,
Q278203,Q170329,
Q295521,Q169661,
Q302068,Q128109,
Q314621,Q121783,
Q313487,Q167253,
Q315104,Q164177,
Q316246,Q131364,
Q324842,Q170649,
Q325977,Q166105,
Q348734,Q128109,
Q351802,Q138089,
Q352168,Q159729,
Q352118,Q170649,
Q358102,Q169165,
Q359370,Q170558,
Q360955,Q161345,
Q363409,Q159893,
Q363397,Q166105,
Q372422,Q169661,
Q377693,Q161345,
Q380515,Q131364,
Q367117,Q572134,
Q428720,Q121783,
Q442623,Q131371,
Q443724,Q157376,
Q448245,Q164177,
Q352073,Q3307390,
Q460116,Q169165,
Q463635,Q163480,
Q471576,Q976396,
Q504025,Q131364,
Q512356,Q162990,
Q517058,Q159893,
Q521908,Q170329,
Q523646,Q128109,
Q523214,Q159893,
Q523630,Q164177,
Q542256,Q138089,
Q543566,Q159893,
Q547217,Q167253,
Q548382,Q164177,
Q549899,Q138089,
Q553063,Q169165,
Q555100,Q131371,
Q555411,Q131371,
Q557194,Q132880,
Q557878,Q167253,
Q538009,Q976396,
Q573036,Q170558,
Q578465,Q166105,
Q597939,Q131371,
Q599161,Q128109,
Q600960,Q167253,
Q633913,Q138089,
Q657378,Q167253,
Q674520,Q162990,
Q681243,Q169165,
Q706180,Q170649,
Q707870,Q166105,
Q714640,Q132893,
Q716081,Q131364,
Q716638,Q157376,
Q717532,Q169637,
Q718669,Q159893,
Q719891,Q131371,
Q720821,Q132893,
Q729281,Q157376,
Q732825,Q169138,
Q733261,Q169661,
Q739832,Q162954,
Q763614,Q132893,
Q764130,Q169661,
Q781069,Q170329,
Q781176,Q172339,
Q787999,Q169138,
Q892931,Q167253,
Q914125,Q131364,
Q914127,Q159729,
Q918878,Q131371,
Q920007,Q138089,
Q921511,Q169138,
Q924857,Q131371,
Q926337,Q132893,
Q926164,Q170649,
Q926311,Q169637,
Q928077,Q162954,
Q926284,Q572134,
Q2241174,Q170329,
Q2252657,Q138089,
Q2275193,Q131371,
Q2288198,Q157376,
Q2291089,Q132880,
Q2308083,Q131371,
Q2308556,Q166105,
Q2309134,Q163480,
Q2311290,Q157376,
Q2312912,Q132880,
Q2316224,Q169165,
Q2317740,Q161345,
Q2326357,Q169661,
Q2326964,Q159893,
Q2327074,Q169661,
Q2329453,Q121783,
Q2328059,Q167253,
Q2329792,Q131364,
Q2330086,Q166105,
Q2332058,Q161337,
Q2332223,Q166105,
Q930443,Q128109,
Q929291,Q166105,
Q933485,Q164177,
Q935758,Q131364,
Q937398,Q131364,
Q939240,Q164177,
Q940284,Q166105,
Q943368,Q162990,
Q944477,Q157376,
Q955247,Q157376,
Q963977,Q131364,
Q964778,Q172339,
Q966827,Q132880,
Q966111,Q169165,
Q970267,Q169661,
Q975550,Q170329,
Q953972,Q976396,
Q963854,Q976396,
Q964580,Q976396,
Q995314,Q170649,
Q1047188,Q164177,
Q1089188,Q170329,
Q1097554,Q166105,
Q1101154,Q131371,
Q1118250,Q166105,
Q1132658,Q159893,
Q1120799,Q572134,
Q1155161,Q164177,
Q1164595,Q169637,
Q1242197,Q170558,
Q1273409,Q976396,
Q1364214,Q131364,
Q1363787,Q170649,
Q1377226,Q170649,
Q1424436,Q132893,
Q1424462,Q159893,
Q1458187,Q121783,
Q1463599,Q121783,
Q1607286,Q131371,
Q1606826,Q157376,
Q1606842,Q166105,
Q1606753,Q169138,
Q1607296,Q166105,
Q1608950,Q131364,
Q1608041,Q169661,
Q1608491,Q169165,
Q1610282,Q131371,
Q1609464,Q159893,
Q1615283,Q169661,
Q1615679,Q164177,
Q1617163,Q138089,
Q1617484,Q132893,
Q1616789,Q169165,
Q1617210,Q164177,
Q1618113,Q161337,
Q1618149,Q167253,
Q1621440,Q131371,
Q1620249,Q169165,
Q1621443,Q162954,
Q1622405,Q164177,
Q1622762,Q167253,
Q1626604,Q131371,
