:START_ID(Player),:END_ID(Team),start_time,end_time,sport_number,position
Q361134,Q131364,1998,2002,23,center; power forward
Q361134,Q131364,11 July 2012,2013,23,center
Q180860,Q169165,1990,1994,43,center
Q318929,Q170329,2005,2014,33,small forward
Q348598,Q169661,1985,1999,4,point guard; shooting guard
Q318929,Q976396,2014,2014,33,small forward
Q310108,Q169165,2003,2010,9,point guard
Q2354822,Q167253,1993,1997,20,center
Q310108,Q157376,2001,2003,0,point guard
Q739699,Q162954,1980,1990,2,small forward
Q361134,Q132880,1996,1998,21,center
Q361134,Q132880,10 July 2013,17 July 2013,,center; power forward
Q463200,Q159893,1995,1999,8,shooting guard
Q933952,Q162990,1971,1980,34,shooting guard
Q440121,Q169661,1966,1975,21,point guard
Q275183,Q162990,07 January 2014,01 July 2014,9,small forward
Q211876,Q159729,1989,2003,50,center
Q192955,Q132893,1998,2004,13,point guard
Q310108,Q165529,2012,2012,10,point guard
Q449245,Q169637,1989,1993,21,small forward; shooting guard
Q275889,Q165529,2008,2018,33,center
Q361134,Q161345,15 March 2012,11 July 2012,29,center
Q190152,Q131371,1979,1992,33,power forward; small forward
Q275183,Q169138,2014,2016,,small forward
Q264393,Q131371,1970,1980,18,center
Q205326,Q128109,2008,,1,point guard
Q16236628,Q132880,2016,,23,point guard
Q505500,Q131371,1950,1956,22,center
Q451780,Q166105,1970,1976,1,point guard
Q958710,Q172339,2002,2004,,point guard
Q973121,Q976396,2019,,24,small forward; shooting guard
Q298981,Q976396,16 January 2014,2015,8,power forward
Q310108,Q161337,18 December 2010,09 December 2011,1,point guard
Q192955,Q121783,11 July 2012,,10,point guard
Q192955,Q164177,2004,2012,13,point guard
Q192955,Q164177,1996,1998,13,point guard
Q451780,Q131371,1978,1983,7,point guard
Q182455,Q138089,1965,1968,13,center
Q169452,Q161337,June 1992,1996,32,center
Q182455,Q157376,1959,1965,13,center
Q352696,Q169138,26 June 2008,12 July 2010,30,small forward; power forward
Q352696,Q169138,2013,01 July 2014,8,power forward; small forward
Q3780060,Q169165,,,,small forward
Q189240,Q170558,1995,2007,21,power forward; small forward
Q179051,Q121783,1975,1989,33,center
Q209921,Q138089,1976,1987,6,small forward
Q1034012,Q169637,2010,,8,center; power forward
Q549899,Q138089,1958,1973,15,shooting guard; point guard
Q44068,Q132893,1998,,41,power forward
Q41421,Q128109,1995,1998,23; 45,shooting guard
Q41421,Q128109,1984,1993,23,shooting guard
Q169452,Q131371,2010,2011,36,center
Q456776,Q169165,1968,1981,41,power forward; center
Q381746,Q169637,13 March 2012,01 July 2013,11,point guard; shooting guard
Q192707,Q164177,1992,1996,34,power forward
Q189240,Q131371,2007,12 July 2013,5,power forward; center
Q375767,Q157376,1988,1991,23,shooting guard
Q192707,Q138089,1984,1992,34; 32,power forward
Q381746,Q132893,23 July 2013,,,shooting guard
Q10345662,Q138089,01 April 2013,14 August 2013,,small forward; shooting guard
Q297146,Q131364,2011,2014,6,center
Q10345662,Q162990,2012,10 October 2012,,small forward
Q273256,Q161345,1984,2001,34,center
Q298512,Q169661,1981,1994,11,point guard
Q930445,Q162990,2004,2008,20,point guard; shooting guard
Q310968,Q169138,1995,2002,33,center
Q787999,Q169138,1988,1994,4,center
Q930445,Q138089,1998,2004,20,point guard
Q139376,Q976396,2008,2009,50,power forward
Q139376,Q165529,17 July 2009,04 July 2017,50,power forward
Q29545,Q572134,2019,,7,small forward
Q169452,Q164177,2008,2009,32,center
Q10345662,Q157376,2014,,7,small forward; shooting guard
Q169452,Q121783,1996,14 July 2004,34,center
Q368561,Q159893,1954,1965,9,center; power forward
Q179051,Q169637,1969,1975,33,center
Q139376,Q131364,2007,2008,50,power forward
Q380515,Q131364,1964,1974,19,center; power forward
Q352696,Q164177,2012,2013,0,power forward; small forward
Q1089188,Q170329,1986,1992,45,small forward
Q70486,Q161345,25 February 2013,13 July 2013,14,power forward
Q352696,Q170558,12 July 2010,20 July 2012,8,power forward; small forward
Q718669,Q162954,1975,1982,33,small forward; shooting guard
Q352696,Q165529,2014,,6,small forward
Q3194911,Q131371,2013,,41,forward-center
Q169452,Q169138,14 July 2004,February 2008,32,center
Q169452,Q162990,2009,2010,33,center
Q134183,Q121783,1979,1991,32,point guard; shooting guard
Q134183,Q121783,1996,1996,32,power forward
Q29545,Q180950,2008,2016,35,power forward; small forward
Q139376,Q167253,2001,2007,50,power forward
Q29545,Q157376,2016,2019,35,small forward
Q352110,Q159729,1974,1985,44,small forward; shooting guard
Q139376,Q166105,04 July 2017,,50,power forward
Q2419803,Q166105,1961,1969,10,point guard
Q182455,Q121783,1968,1973,13,center
Q928077,Q162954,2011,13 July 2018,35,power forward
Q199896,Q170649,1985,2003,32,power forward
Q538009,Q121783,1983,1993,4,shooting guard
Q297146,Q132893,2010,2011,6,center
Q297146,Q132893,2014,,6,center
Q1815125,Q976396,1971,1979,9,small forward; shooting guard
Q3780060,Q157376,,,,power forward
Q41421,Q169165,2001,2003,23,small forward; shooting guard
Q310968,Q163480,1992,1995,33,center
Q375767,Q166105,1991,1998,2,shooting guard
Q10345662,Q167253,12 October 2012,27 October 2012,,small forward
Q498348,Q128109,2011,22 June 2017,21,small forward
Q203286,Q164177,1988,1998,7,point guard
Q192707,Q161345,1996,2000,4,power forward
Q348696,Q131364,1967,1977,10,point guard
Q270966,Q170329,1987,2005,31,shooting guard
Q385436,Q138089,1993,1995,3,point guard
Q460116,Q169165,1993,1996,77,center
Q317527,Q163480,2008,2012,32,power forward
Q193052,Q121783,01 February 2008,01 July 2014,16,center; power forward
Q313499,Q164177,15 August 2012,01 July 2013,20,center; power forward
Q2477269,Q976396,2003,2005,21,small forward; shooting guard; power forward
Q313499,Q157376,23 July 2013,01 July 2014,7,power forward; center
Q897000,Q164177,2012,,3,shooting guard
Q193020,Q159729,1997,11 July 2016,21,center; power forward
Q193052,Q128109,2014,2016,16,power forward; center
Q136816,Q157376,10 July 2013,07 July 2019,9,small forward; shooting guard
Q361178,Q172339,1995,1998,41,small forward
Q641041,Q161337,1995,2003,10,point guard
Q926248,Q132880,2018,,2,small forward
Q524480,Q169138,09 December 2011,June 2014,31,power forward; small forward
Q1022508,Q162990,2012,01 July 2014,0,shooting guard
Q348618,Q132893,2023,,11,point guard
Q94846,Q166105,July 1998,2004,21,center
Q193052,Q159729,2016,01 March 2019,,center; power forward
Q31683,Q128109,2016,,3,point guard; shooting guard
Q136816,Q138089,2004,2012,9; 4,small forward; shooting guard
Q456766,Q157376,1950,1962,11,small forward
Q380006,Q172339,2009,2010,,power forward
Q375525,Q159893,16 July 2012,01 July 2013,26,shooting guard
Q317527,Q164177,2005,2008,3,power forward
Q242185,Q131371,1956,1969,6,center
Q10345591,Q162954,2014,,11,point guard
Q1168929,Q166105,1987,1990,30,point guard
Q375525,Q162990,05 January 2017,,26,shooting guard
Q2274527,Q169661,1980,1986,54,center
Q389975,Q167253,1970,1976,45,point guard; shooting guard
Q313499,Q170329,2000,2008,7,center; forward
Q136816,Q162954,10 August 2012,01 July 2013,9,small forward; shooting guard
Q2477269,Q572134,2008,2010,21,power forward; small forward
Q317527,Q159893,2003,2005,13,shooting guard
Q1070836,Q138089,1962,1969,25,small forward
Q1000791,Q159893,2012,,12,shooting guard
Q317527,Q159729,23 March 2012,,33,center; power forward
Q193052,Q165529,2001,2008,16,center; power forward
Q524480,Q161345,28 June 2006,2011,31,small forward
Q524480,Q165529,2001,2006,31,small forward; shooting guard
Q921340,Q165529,2007,,11,point guard
Q352093,Q159893,1983,1991,25,point guard
Q94846,Q121783,1989,1996,12,center
Q94846,Q121783,2004,2005,,
Q1022508,Q170649,2005,2012,34,shooting guard
Q310281,Q128109,1999,2001,42,power forward
Q348618,Q131371,2017,2019,11,point guard
Q594137,Q161345,1983,1987,50,power forward; center
Q434824,Q157376,1972,1978,24,small forward
Q434824,Q157376,1965,1967,24,small forward
Q297221,Q170558,2008,2014,42,center; power forward
Q313481,Q161345,2004,2009,55,center
Q201608,Q169661,1986,1993,10,power forward
Q311195,Q121783,1960,1974,44,shooting guard; point guard
Q313481,Q162954,1991,1996,55,center
Q1159084,Q162954,1975,1985,44,power forward; center
Q25369,Q121783,1996,2016,24,shooting guard
Q25278,Q161337,2004,2012,12,power forward; center
Q193637,Q128109,1987,1998,33,small forward
Q535559,Q131364,1983,1987,2,point guard
Q1661518,Q170649,1983,1991,41,power forward; small forward
Q1027716,Q161345,1970,1983,23,point guard; shooting guard
Q1101335,Q167253,1989,1997,3,center; power forward; small forward
Q297221,Q162990,2014,2023,0,power forward; center
Q366505,Q166105,1963,1969,16,center; power forward
Q971538,Q121783,1978,1990,21,point guard; small forward; shooting guard
Q25278,Q161345,2013,2016,12,power forward; center
Q202295,Q161337,2000,2004,1,shooting guard
Q371821,Q161345,2011,2012,21,center
Q136678,Q161345,2012,2021,13,shooting guard
Q301757,Q161345,2007,2011,0,point guard
Q301757,Q161345,05 March 2013,2014,0,point guard
Q202295,Q159893,2011,2012,1,small forward
Q301757,Q166105,16 July 2012,01 March 2013,3,point guard
Q460193,Q131371,1956,1965,15,power forward; small forward
Q372389,Q167253,1997,2000,44,power forward
Q951041,Q169165,1992,1995,34,power forward
Q357458,Q121783,1958,1971,22,small forward
Q557148,Q169138,1996,2000,42,power forward
Q371821,Q138089,2001,2010,1,center
Q1626595,Q131364,1978,1981,34,point guard; shooting guard
Q295322,Q131364,16 July 2013,2014,51,small forward
Q2309877,Q169138,1996,1998,8,center
Q371821,Q169637,27 June 2012,01 July 2013,21,center
Q46040,Q172339,2005,2011,3,point guard
Q201608,Q128109,1995,1998,91,power forward
Q311735,Q128109,2007,2016,13,center
Q310281,Q138089,2008,2012,42,center; power forward
Q369532,Q161345,2011,2012,3,point guard
Q1166588,Q170649,1980,1991,35,shooting guard
Q337370,Q161345,2020,2021,,point guard
Q1027929,Q164177,1968,1977,,shooting guard
Q202295,Q169661,2010,2011,1,shooting guard
Q201608,Q159729,1993,1995,10,power forward
Q136678,Q572134,2021,2022,,shooting guard
Q557148,Q172339,2000,2006,42,center; power forward
Q301757,Q164177,2011,2011,0,point guard
Q310281,Q976396,2001,2008,42,power forward
Q202295,Q159729,2013,2013,1,small forward; shooting guard
Q295322,Q170329,2002,2006,91,small forward
Q371821,Q132893,19 July 2013,2014,1,center
Q136678,Q180950,11 July 2009,27 October 2012,13,shooting guard
Q295322,Q121783,July 2009,11 July 2013,15,forward
Q177928,Q169637,1979,1989,4,point guard; shooting guard
Q1455879,Q162990,1991,1997,1,point guard
Q193637,Q161345,1998,1999,33,small forward
Q371821,Q131364,2014,,,center
Q505336,Q131371,1951,1961,21,shooting guard
Q372389,Q166105,1994,1997,33,power forward
Q25278,Q121783,2012,2013,12,center
Q25278,Q121783,2021,2022,,
Q25278,Q121783,2019,2020,,
Q316179,Q161345,1976,1982,24,center
Q313481,Q138089,2001,2002,55,center
Q313481,Q159893,1996,2001,55,center
Q598416,Q131371,1969,1979,10,point guard
Q311735,Q131364,2016,,13,center
Q301757,Q162954,20 February 2014,01 July 2014,0,point guard
Q310281,Q159893,15 July 2013,,42,power forward
Q376586,Q161337,2009,2012,33,power forward
Q314185,Q121783,1947,1954,99,center
Q310281,Q132893,13 July 2012,01 July 2013,42,center
Q46040,Q976396,2011,,3,point guard
Q301757,Q128109,19 July 2014,,0,point guard
Q316179,Q138089,1982,1986,2,center
Q2324397,Q159893,1995,2004,44,power forward
Q376586,Q172339,2012,,33,power forward
Q371193,Q132893,2006,2011,,
Q371193,Q132893,2014,2020,,
Q357295,Q121783,2006,2009,,
Q355750,Q164177,,,,
Q358093,Q161345,,,,
Q358093,Q165529,,,,
Q358093,Q167253,,,,
Q358093,Q180950,,,,
Q366085,Q128109,,,,
Q366607,Q132880,,,,
Q366607,Q159893,,,,
Q366607,Q169165,,,,
Q366607,Q169637,,,,
Q366607,Q170329,,,,
Q368573,Q131364,,,,
Q368573,Q132880,,,,
Q370275,Q132880,,,,
Q371224,Q131364,,,,
Q371224,Q132893,,,,
Q370275,Q165529,,,,
Q370275,Q166105,,,,
Q371224,Q162954,,,,
Q371224,Q163480,,,,
Q371224,Q167253,,,,
Q380018,Q132880,,,,
Q380018,Q165529,,,,
Q384545,Q121783,,,,
Q384545,Q131364,,,,
Q393404,Q159729,,,,
Q357295,Q128109,2012,2013,,
Q428535,Q131364,,,,
Q428535,Q159729,,,,
Q428535,Q163480,,,,
Q428535,Q180950,,,,
Q449245,Q132880,,,,
Q449642,Q121783,,,,
Q449245,Q169661,,,,
Q449642,Q162990,,,,
Q459471,Q128109,,,,
Q459471,Q131371,,,,
Q461407,Q132880,,,,
Q461407,Q159729,,,,
Q461407,Q169637,,,,
Q461407,Q170329,,,,
Q461825,Q157376,,,,
Q461825,Q159729,,,,
Q461825,Q159893,,,,
Q461825,Q163480,,,,
Q461825,Q169637,,,,
Q461825,Q170329,,,,
Q461825,Q572134,,,,
Q461825,Q976396,,,,
Q505500,Q159893,,,,
Q507094,Q131364,,,,
Q507094,Q162954,,,,
Q507094,Q169637,,,,
Q514558,Q131371,,,,
Q514592,Q169138,,,,
Q517309,Q157376,,,,
Q517309,Q161337,,,,
Q517309,Q163480,,,,
Q517309,Q169637,,,,
Q517309,Q169661,,,,
Q520368,Q161345,,,,
Q520368,Q162954,,,,
Q520368,Q170329,,,,
Q521859,Q132893,,,,
Q521859,Q159729,,,,
Q521859,Q170329,,,,
Q524908,Q121783,,,,
Q524908,Q163480,,,,
Q524908,Q169661,,,,
Q524908,Q172339,,,,
Q525613,Q161345,,,,
Q525613,Q166105,,,,
Q525613,Q169138,,,,
Q525613,Q170329,,,,
Q526241,Q161345,,,,
Q526241,Q162954,,,,
Q526241,Q166105,,,,
Q526241,Q170558,,,,
Q526241,Q172339,,,,
Q524908,Q572134,,,,
Q517309,Q976396,,,,
Q357295,Q157376,2009,2011,,
Q444027,Q128109,2004,2009,,
Q364321,Q169165,2009,2010,,
Q357295,Q163480,2009,2009,,
Q360894,Q170649,2002,2005,,
Q371193,Q170558,2011,2014,,
Q364321,Q167253,2010,2010,,
Q358723,Q169165,2013,2018,,
Q444027,Q138089,2010,2012,,
Q357295,Q976396,2006,2006,,
Q358723,Q164177,2010,2013,,
Q444027,Q166105,2009,2010,,
Q364321,Q159729,2005,2009,,
Q357295,Q159893,2011,2012,,
Q358723,Q976396,2018,2019,,
Q358723,Q161337,August 2007,2010,,
Q196185,Q161345,2019,2020,0,
Q115509,Q159729,,,,
Q127125,Q157376,,,,
Q127125,Q161337,,,,
Q127125,Q162990,,,,
Q127125,Q169165,,,,
Q144703,Q132880,,,,
Q144703,Q132893,,,,
Q144703,Q157376,,,,
Q144703,Q159729,,,,
Q144703,Q159893,,,,
Q144703,Q161345,,,,
Q144703,Q162954,,,,
Q144703,Q169138,,,,
Q161817,Q132893,,,,
Q161817,Q159893,,,,
Q161817,Q162954,,,,
Q161817,Q165529,,,,
Q161817,Q166105,,,,
Q161817,Q170329,,,,
Q196185,Q180950,2008,2019,0,
Q181601,Q132880,,,,
Q181601,Q138089,,,,
Q181601,Q162954,,,,
Q181601,Q164177,,,,
Q161817,Q976396,,,,
Q205326,Q131364,,,,
Q220565,Q572134,2003,2006,,
Q265692,Q159893,,,,
Q265692,Q162990,,,,
Q265692,Q169661,,,,
Q205326,Q170558,2018,2019,,
Q286765,Q161345,,,,
Q286765,Q164177,,,,
Q286765,Q170329,,,,
Q286765,Q170558,,,,
Q294788,Q170558,,,,
Q294788,Q170649,,,,
Q298531,Q131364,,,,
Q298531,Q132880,,,,
Q294788,Q572134,,,,
Q311895,Q161337,,,,
Q311895,Q164177,,,,
Q311895,Q169661,,,,
Q313488,Q164177,,,,
Q313488,Q169637,,,,
Q316256,Q131364,,,,
Q316256,Q131371,,,,
Q316256,Q161337,,,,
Q316256,Q165529,,,,
Q316256,Q169661,,,,
Q316256,Q170558,,,,
Q319336,Q131364,,,,
Q319336,Q131371,,,,
Q319336,Q164177,,,,
Q319336,Q170558,,,,
Q324249,Q163480,,,,
Q326355,Q164177,,,,
Q319336,Q572134,,,,
Q311895,Q976396,,,,
Q352319,Q132893,,,,
Q352319,Q157376,,,,
Q352319,Q162954,,,,
Q352319,Q169138,,,,
Q352319,Q170329,,,,
Q354914,Q128109,,,,
Q354914,Q167253,,,,
Q298981,Q132880,2009,2010,,
Q24200,Q169165,06 February 2020,,,
Q350464,Q121783,2009,2010,,
Q196185,Q169165,2020,2021,4,
Q281499,Q167253,1971,1980,,
Q318926,Q121783,2004,2010,,
Q298981,Q166105,2000,2003,,
Q270981,Q164177,2002,2010,,
Q196185,Q128109,2021,,,
Q24200,Q161337,,,,
Q24200,Q169138,,,,
Q32253,Q161337,,,,
Q32253,Q169637,,,,
Q32253,Q170558,,,,
Q24200,Q572134,,,,
Q40657,Q161345,,,,
Q47073,Q128109,,,,
Q60971,Q159893,,,,
Q60971,Q169637,,,,
Q60971,Q976396,,,,
Q318926,Q572134,2010,2011,,
Q205326,Q169661,2020,2021,,
Q314430,Q976396,2017,2019,,
Q270981,Q132893,2015,2015,,
Q270981,Q131364,2010,2015,,
Q205326,Q162990,2017,2018,,
Q298981,Q164177,2010,2010,,
Q350464,Q163480,2006,2009,,
Q24200,Q170558,,05 February 2020,,
Q318926,Q976396,2014,2014,,
Q318926,Q131364,2015,2017,,
Q298981,Q159729,2003,2004,,
Q270981,Q169138,2015,2016,,
Q932833,Q572134,,1977,,
Q918855,Q572134,2009,2010,,
Q724581,Q131364,,,,
Q724581,Q132893,,,,
Q724581,Q159729,,,,
Q724581,Q164177,,,,
Q724581,Q170649,,,,
Q736301,Q132880,,,,
Q736301,Q161337,,,,
Q736301,Q163480,,,,
Q736815,Q159729,,,,
Q736815,Q163480,,,,
Q739699,Q132893,,,,
Q739699,Q170329,,,,
Q724581,Q976396,,,,
Q767622,Q166105,,,,
Q767622,Q172339,,,,
Q781072,Q159729,,,,
Q781072,Q159893,,,,
Q781072,Q165529,,,,
Q781072,Q169661,,,,
Q911981,Q132893,,,,
Q911981,Q157376,,,,
Q911981,Q165529,,,,
Q911981,Q169165,,,,
Q911981,Q169661,,,,
Q911981,Q170558,,,,
Q918916,Q131364,,,,
Q920081,Q131364,,,,
Q918916,Q169661,,,,
Q922523,Q170329,,,,
Q922523,Q170558,,,,
Q926364,Q128109,,,,
Q926364,Q138089,,,,
Q926364,Q164177,,,,
Q926364,Q169165,,,,
Q926364,Q169637,,,,
Q926364,Q170329,,,,
Q928064,Q121783,,,,
Q928950,Q132893,,,,
Q928064,Q164177,,,,
Q928064,Q170558,,,,
Q928950,Q167253,,,,
Q928950,Q170649,,,,
Q930865,Q157376,,,,
Q930865,Q159729,,,,
Q930865,Q162954,,,,
Q930865,Q162990,,,,
Q930865,Q169637,,,,
Q938769,Q164177,,,,
Q941813,Q159893,,,,
Q948037,Q131371,,,,
Q948453,Q128109,,,,
Q948453,Q131371,,,,
Q948453,Q132880,,,,
Q948453,Q132893,,,,
Q948037,Q161337,,,,
Q948037,Q162954,,,,
Q948037,Q163480,,,,
Q948037,Q167253,,,,
Q948037,Q169637,,,,
Q948037,Q172339,,,,
Q948453,Q161345,,,,
Q948453,Q169138,,,,
Q948453,Q169165,,,,
Q948453,Q169637,,,,
Q948453,Q169661,,,,
Q948453,Q170558,,,,
Q948453,Q172339,,,,
Q953338,Q131364,,,,
Q953338,Q132880,,,,
Q953338,Q132893,,,,
Q953338,Q159729,,,,
Q953338,Q161345,,,,
Q953338,Q169637,,,,
Q953338,Q170649,,,,
Q953338,Q180950,,,,
Q928064,Q976396,,,,
Q961491,Q164177,,,,
Q963613,Q131364,,,,
Q962929,Q162990,,,,
Q963613,Q159893,,,,
Q964976,Q121783,,,,
Q963613,Q169661,,,,
Q948037,Q976396,,,,
Q953041,Q976396,,,,
Q953338,Q976396,,,,
Q942651,Q2354728,,,,
Q953837,Q169637,2005,2006,,
Q953837,Q131371,2003,2005,,
Q944029,Q162954,1986,1988,,
Q953837,Q157376,2002,2003,,
Q953837,Q162990,2005,2005,,
Q918855,Q132880,2001,2003,,
Q918855,Q132880,2004,2005,,
Q928003,Q131364,2009,2009,,
Q918855,Q169138,2003,2004,,
Q932833,Q159729,1973,1974,,
Q918855,Q161345,2005,2009,,
Q918855,Q161337,2009,2009,,
Q716316,Q163480,08 July 2008,13 July 2012,,
Q716316,Q170329,13 July 2012,22 July 2013,,
Q716316,Q180950,19 February 2015,18 February 2016,,
Q716316,Q128109,13 December 2013,15 July 2014,,
Q577516,Q162990,2008,2011,,
Q526241,Q165529,,,,
Q537972,Q131364,,,,
Q537972,Q131371,,,,
Q537972,Q163480,,,,
Q537972,Q164177,,,,
Q537972,Q166105,,,,
Q537972,Q169138,,,,
Q537972,Q169637,,,,
Q539560,Q159729,,,,
Q540498,Q131364,,,,
Q539560,Q162954,,,,
Q539560,Q163480,,,,
Q539560,Q172339,,,,
Q548735,Q131371,,,,
Q548735,Q170558,,,,
Q549180,Q157376,,,,
Q537972,Q572134,,,,
Q552014,Q131371,,,,
Q553318,Q128109,,,,
Q553318,Q131364,,,,
Q553318,Q166105,,,,
Q553318,Q172339,,,,
Q555477,Q164177,,,,
Q555477,Q170329,,,,
Q555477,Q172339,,,,
Q558601,Q131364,,,,
Q558601,Q131371,,,,
Q558601,Q169661,,,,
Q558663,Q169637,,,,
Q558663,Q169661,,,,
Q558601,Q180950,,,,
Q562764,Q128109,,,,
Q562764,Q131364,,,,
Q562764,Q132893,,,,
Q562764,Q159729,,,,
Q562764,Q164177,,,,
Q562764,Q167253,,,,
Q562764,Q169138,,,,
Q562764,Q169637,,,,
Q537972,Q976396,,,,
Q539560,Q976396,,,,
Q568335,Q159893,,,,
Q568335,Q169661,,,,
Q548735,Q976396,,,,
Q549180,Q976396,,,,
Q558601,Q976396,,,,
Q586957,Q132893,,,,
Q590253,Q131371,,,,
Q591020,Q131371,,,,
Q590253,Q163480,,,,
Q590253,Q167253,,,,
Q590253,Q169637,,,,
Q590253,Q170329,,,,
Q590253,Q172339,,,,
Q598415,Q164177,,,,
Q600804,Q131371,,,,
Q595258,Q572134,,,,
Q614905,Q157376,,,,
Q628422,Q157376,,,,
Q628422,Q161337,,,,
Q639025,Q157376,,,,
Q639025,Q163480,,,,
Q639025,Q180950,,,,
Q641280,Q121783,,,,
Q641523,Q159893,,,,
Q641280,Q169661,,,,
Q628613,Q572134,,,,
Q716316,Q132880,22 July 2013,09 December 2013,,
Q648447,Q121783,,,,
Q591020,Q2354728,,,,
Q641523,Q976396,,,,
Q676481,Q132893,,,,
Q676481,Q157376,,,,
Q676481,Q159729,,,,
Q676481,Q161345,,,,
Q676481,Q162954,,,,
Q685983,Q132893,,,,
Q685983,Q169661,,,,
Q676481,Q572134,,,,
Q693463,Q121783,,,,
Q693463,Q157376,,,,
Q693463,Q159893,,,,
Q715618,Q131364,,,,
Q715618,Q131371,,,,
Q715618,Q167253,,,,
Q715618,Q170649,,,,
Q715618,Q180950,,,,
Q720679,Q167253,,,,
Q720679,Q169165,,,,
Q720679,Q170558,,,,
Q724581,Q162954,,,,
Q716316,Q161337,07 July 2016,,,
Q557508,Q162990,2005,2006,,
Q716316,Q162954,18 February 2016,07 July 2016,,
Q716316,Q169661,15 July 2014,19 February 2015,,
Q1277708,Q159729,July 2015,2016,,
Q1135781,Q163480,2011,2012,,
Q965310,Q161345,1998,2004,,
Q1209671,Q121783,1955,1960,,
Q1209671,Q131364,1960,1961,,
Q1277708,Q138089,February 2019,2019,,
Q965310,Q166105,2004,2005,,
Q969401,Q131364,,,,
Q969401,Q157376,,,,
Q969401,Q572134,,,,
Q984367,Q128109,,,,
Q984367,Q131364,,,,
Q984367,Q132880,,,,
Q984367,Q162954,,,,
Q984367,Q164177,,,,
Q994442,Q131371,,,,
Q1277708,Q132893,July 2019,,,
Q1101719,Q167253,,,,
Q1101719,Q169138,,,,
Q1101719,Q170329,,,,
Q1111983,Q159729,,,,
Q1111983,Q161345,,,,
Q1111983,Q162954,,,,
Q1132507,Q121783,,,,
Q1132507,Q128109,,,,
Q1132507,Q132880,,,,
Q1132507,Q138089,,,,
Q1132507,Q157376,,,,
Q1132507,Q162990,,,,
Q1132507,Q164177,,,,
Q1132738,Q163480,,,,
Q1132738,Q164177,,,,
Q1132834,Q161337,,,,
Q1132834,Q169165,,,,
Q1132834,Q169661,,,,
Q1184377,Q157376,,,,
Q1184377,Q159729,,,,
Q1184377,Q161337,,,,
Q1189917,Q128109,,,,
Q1111983,Q3307390,,,,
Q1337331,Q159729,,,,
Q1337331,Q162954,,,,
Q1337331,Q162990,,,,
Q1337331,Q167253,,,,
Q1337331,Q169165,,,,
Q1337331,Q172339,,,,
Q1348252,Q138089,,,,
Q1348252,Q169138,,,,
Q1348252,Q170649,,,,
Q1364234,Q169165,,,,
Q1392517,Q161345,,,,
Q1392517,Q163480,,,,
Q1392517,Q166105,,,,
Q1392517,Q167253,,,,
Q1392517,Q169138,,,,
Q1392517,Q169165,,,,
Q1392517,Q169661,,,,
Q1392517,Q172339,,,,
Q1393488,Q159729,,,,
Q1393488,Q572134,,,,
Q1424128,Q128109,,,,
Q1424128,Q131371,,,,
Q1424128,Q159729,,,,
Q1424128,Q161337,,,,
Q1424128,Q162954,,,,
Q1424128,Q170329,,,,
Q1424128,Q572134,,,,
Q1439529,Q164177,,,,
Q1448687,Q170558,,,,
Q1450551,Q131371,,,,
Q1453417,Q131364,,,,
Q1455883,Q162954,,,,
Q1455883,Q169138,,,,
Q1455883,Q169637,,,,
Q1458383,Q121783,,,,
Q1458196,Q165529,,,,
Q1458196,Q167253,,,,
Q1458383,Q162954,,,,
Q1458196,Q169637,,,,
Q1458196,Q170329,,,,
