wikidata_id:ID(Award),name,enwiki_title
Q5599569,Great Midwest Conference Men's Basketball Player of the Year,Great Midwest Conference Men%27s Basketball Player of the Year
Q7122259,Pac-12 Conference Men's Basketball Player of the Year,Pac-12 Conference Men%27s Basketball Player of the Year
Q6879312,Mississippi Sports Hall of Fame,Mississippi Sports Hall of Fame
Q6925428,Mountain West Conference Men's Basketball Player of the Year,Mountain West Conference Men%27s Basketball Player of the Year
Q3869346,NABC Coach of the Year,NABC Coach of the Year
Q3869345,NABC Defensive Player of the Year,NABC Defensive Player of the Year
Q3304648,Atlantic Coast Conference Men's Basketball Player of the Year,Atlantic Coast Conference Men%27s Basketball Player of the Year
Q3869984,Naismith College Coach of the Year,Naismith College Coach of the Year
Q4581775,1984 NCAA Men's Basketball All-Americans,1984 NCAA Men%27s Basketball All-Americans
Q4816370,Atlantic Coast Conference Men's Basketball Coach of the Year,Atlantic Coast Conference men%27s basketball Coach of the Year
Q4835465,BET Award for Athlete of the Century,BET Award for Sportsman of the Year
Q4650547,ACC Athlete of the Year,ACC Athlete of the Year
Q3625678,Associated Press College Basketball Player of the Year,Associated Press College Basketball Player of the Year
Q4873930,Bay Area Sports Hall of Fame,Bay Area Sports Hall of Fame
Q3625675,Associated Press College Basketball Coach of the Year,Associated Press College Basketball Coach of the Year
Q3809120,John Bunn Award,John Bunn Award
Q4407211,FIBA EuroBasket MVP,FIBA EuroBasket MVP
Q3734778,Euroleague MVP,EuroLeague MVP
Q3336862,National Collegiate Basketball Hall of Fame,National Collegiate Basketball Hall of Fame
Q3650838,Order of Honour,Order of Honor (Georgia)
Q4588668,1993 NCAA Men's Basketball All-Americans,1993 NCAA Men%27s Basketball All-Americans
Q4816371,Atlantic Coast Conference Men's Basketball Rookie of the Year,Atlantic Coast Conference Men%27s Basketball Rookie of the Year
Q3869347,NABC Player of the Year,NABC Player of the Year
Q3937000,Euroleague Rising Star,EuroLeague Rising Star
Q3517653,Canadian Football Hall of Fame,Canadian Football Hall of Fame
Q4816274,Atlantic 10 Conference Men's Basketball Player of the Year,Atlantic 10 Conference Men%27s Basketball Player of the Year
Q3784951,Henry Iba Award,Henry Iba Award
Q4001973,EuroCup Basketball Rising Star,EuroCup Basketball Rising Star
Q4791866,Arkansas Sports Hall of Fame,Arkansas Sports Hall of Fame
Q4835493,BET Humanitarian Award,BET Humanitarian Award
Q943106,Best NBA Player ESPY Award,Best NBA Player ESPY Award
Q1139785,Saint George's Cross,Creu de Sant Jordi
Q1125399,NBA Most Improved Player Award,NBA Most Improved Player Award
Q979186,Alphonso Ford Trophy,Alphonso Ford EuroLeague Top Scorer Trophy
Q928314,Bronze Star Medal,Bronze Star Medal
Q1061233,L'Équipe Champion of Champions,L%27%C3%89quipe Champion of Champions
Q1387630,ACB Most Valuable Player Award,ACB Most Valuable Player Award
Q1204346,Rhodes Scholarship,Rhodes Scholarship
Q960966,Order of the Badge of Honour,Order of the Badge of Honour
Q918054,NBA Coach of the Year Award,NBA Coach of the Year Award
Q944843,Southland Conference Men's Basketball Player of the Year,Southland Conference Men%27s Basketball Player of the Year
Q1330014,Canada's Sports Hall of Fame,Canada%27s Sports Hall of Fame
Q1418009,NBA All-Rookie Team,NBA All-Rookie Team
Q1418596,NBA Sportsmanship Award,NBA Sportsmanship Award
Q1465181,NBA All-Defensive Team,NBA All-Defensive Team
Q1388149,All-ACB Team,All-Liga ACB Team
Q1406311,Bob Cousy Award,Bob Cousy Award
Q1501719,J. Walter Kennedy Citizenship Award,J. Walter Kennedy Citizenship Award
Q16829557,Chuck Daly Lifetime Achievement Award,Chuck Daly Lifetime Achievement Award
Q11942661,Ramon Llull Award,Ramon Llull Award
Q16996870,Indiana Mr. Basketball,Indiana Mr. Basketball
Q7945958,W. Roy Wheeler Medallion,W. Roy Wheeler Medallion
Q16251407,All-District Team,All-District Team
Q9062364,ASUN Conference Men's Basketball Player of the Year,ASUN Conference Men%27s Basketball Player of the Year
Q13425905,Twyman–Stokes Teammate of the Year Award,Twyman%E2%80%93Stokes Teammate of the Year Award
Q16156105,University of Florida Athletic Hall of Fame,University of Florida Athletic Hall of Fame
Q16827133,Best Male College Basketball Player ESPY Award,Best Male College Basketball Player ESPY Award
Q16918963,NAACP Image Award for Outstanding Literary Work  – Children,NAACP Image Award for Outstanding Literary Work %E2%80%93 Children
Q17062168,NBA,NBA (song)
Q10855271,Knight of the Legion of Honour,Chevalier of the Legion of Honour
Q15278116,Officer of the Order of Canada,Officer of the Order of Canada
Q8350798,Copa del Rey de Baloncesto 2013–14,2014 Copa del Rey de Baloncesto
Q7865896,USBWA National Freshman of the Year,USBWA National Freshman of the Year
Q16980367,American Athletic Conference Men's Basketball Player of the Year,American Athletic Conference Men%27s Basketball Player of the Year
Q10762848,Officer of the Order of the British Empire,Officer of the Order of the British Empire
Q10873970,CBA Most Valuable Player,CBA Most Valuable Player
Q9062372,Horizon League Men's Basketball Player of the Year,Horizon League Men%27s Basketball Player of the Year
Q14705795,New Jersey Hall of Fame,New Jersey Hall of Fame
Q7883073,Under Armour Undeniable Performance ESPY Award,Under Armour Undeniable Performance ESPY Award
Q1766360,Northern Star Award,Northern Star Award
Q2081740,Sporting News Men's College Basketball Player of the Year,Sporting News Men%27s College Basketball Player of the Year
Q2404133,Oscar Robertson Trophy,Oscar Robertson Trophy
Q1514249,Major League Baseball Most Valuable Player Award,Major League Baseball Most Valuable Player Award
Q1535145,Golden Raspberry Award for Worst Screen Couple/Ensemble,Golden Raspberry Award for Worst Screen Combo
Q1649458,Australian Sports Medal,Australian Sports Medal
Q1653207,Sports Illustrated Sportsperson of the Year,Sports Illustrated Sportsperson of the Year
Q7708011,Texas Sports Hall of Fame,Texas Sports Hall of Fame
Q2666769,Naismith College Player of the Year,Naismith College Player of the Year
Q2282428,Naismith Prep Player of the Year Award,Naismith Prep Player of the Year Award
Q2404355,Frances Pomeroy Naismith Award,Frances Pomeroy Naismith Award
Q2359022,Adolph Rupp Trophy,Adolph Rupp Trophy
Q1641970,John R. Wooden Award,John R. Wooden Award
Q1749322,NCAA Basketball Tournament Most Outstanding Player,NCAA basketball tournament Most Outstanding Player
Q2528836,McDonald's All-American Game,McDonald%27s All-American Game
Q2613195,FIBA Europe Under-20 Championship,FIBA U20 European Championship
Q2702840,"Medal ""For Distinguished Labour""",Medal %22For Distinguished Labour%22
Q2706900,All-Pro,All-Pro
Q1749049,Pete Newell Big Man Award,Pete Newell Big Man Award
Q1987426,All-Euroleague Team,All-EuroLeague Team
Q3046356,Eagle Scout,Eagle Scout
Q7767287,Summit League Men's Basketball Player of the Year,Summit League Men%27s Basketball Player of the Year
Q5988435,MVP Supercup of Spain,
Q3320370,Princess of Asturias Award for Sports,
Q9387384,Merited Master of Sports of the USSR,
Q20504475,Commander of the Order of the Grand Duke Gediminas,
Q21948571,Gold Medal of Merit for National Defence,
Q28710767,Esportista català de l'any,
Q30860334,Gold Medal of the Royal Order of Sports Merit,
Q115088774,Asia's Most Influential Philippines,
Q20439991,Junior Prima award,
Q16458824,Officer's Crosses of the Order of the Lithuanian Grand Duke Gediminas,
Q39946570,Gold Medal of Work Merit,
Q3362502,Quebec Sports Hall of Fame,
Q99526970,Champion des champions français de L'Équipe,
Q26242497,Knight of the National Order of the Lion,
Q15715251,Officer of the Order of Polonia Restituta,
Q41655480,Oklahoma Sports Hall of Fame,
Q56872155,diamond Konex award,
Q17985761,star on Hollywood Walk of Fame,
Q111512907,Honorary Citizen of the City of Łódź,
Q61478580,Companion of the Ordre des arts et des lettres du Québec,
Q13422140,Officer of the National Order of Merit,
Q15243387,Olympic gold medal,
Q120648343,Galardón Camino Real,
Q41628143,North Carolina Sports Hall of Fame,
Q13422138,Knight of the National Order of Merit,
Q63307285,Pioneer of Reform,
Q124390870,star on Croatian Walk of Fame,
Q9678710,Member of the Order of Australia,
Q63072128,honorary doctor of the University of Hong Kong,
Q106122868,Q106122868,
Q107283826,Q107283826,
Q16458825,Commander's Grand Cross of the Order of the Gediminas,
Q50620191,honorary doctorate of the University of Extramadura,
Q19030089,"Medal of the Order ""For Merit to the Fatherland"", 2nd class",
Q106910608,member of the Nevada Writers Hall of Fame,
Q39384825,honorary doctor of Harvard University,
Q101566864,honorary doctor of the Syracuse University,
Q18355821,USA Basketball Male Athlete of the Year,USA Basketball Male Athlete of the Year
Q845884,NBA Defensive Player of the Year Award,NBA Defensive Player of the Year Award
Q21528829,Karl Malone Award,Karl Malone Award
Q18128982,Ontario Sports Hall of Fame,Ontario Sports Hall of Fame
Q18156668,NBA Championship ring,NBA championship ring
Q517881,West Coast Conference Men's Basketball Player of the Year,West Coast Conference Men%27s Basketball Player of the Year
Q30682855,FIBA Under-19 Basketball World Cup Most Valuable Player,FIBA Under-19 Basketball World Cup Most Valuable Player
Q385186,Golden Raspberry Award for Worst New Star,Golden Raspberry Award for Worst New Star
Q478850,Order of the Red Banner of Labour,Order of the Red Banner of Labour
Q4896605,Best Championship Performance ESPY Award,Best Championship Performance ESPY Award
Q17182534,NBA Development League All-Star Game Most Valuable Player Award,NBA Development League All-Star Game Most Valuable Player Award
Q23055174,USBWA Most Courageous Award,USBWA Most Courageous Award
Q917808,Academy Award for Best Animated Short Film,Academy Award for Best Animated Short Film
Q7571251,Southwest Conference Men's Basketball Player of the Year,Southwest Conference Men%27s Basketball Player of the Year
Q21517440,Kareem Abdul-Jabbar Award,Kareem Abdul-Jabbar Award
Q23038226,Pac-12 Conference Men's Basketball Coach of the Year,Pac-12 Conference Men%27s Basketball Coach of the Year
Q303970,Chicago Tribune Silver Football,Chicago Tribune Silver Football
Q315026,Silbernes Lorbeerblatt,Silbernes Lorbeerblatt
Q583881,Order of Friendship of Peoples,Order of Friendship of Peoples
Q8679,Pisces,Pisces (constellation)
Q857933,Canada's Walk of Fame,Canada%27s Walk of Fame
Q876882,German Sportspersonality of the Year,German Sportspersonality of the Year
Q19863818,Parade All-America Boys Basketball Team,Parade All-America Boys Basketball Team
Q4896598,Best Breakthrough Athlete ESPY Award,Best Breakthrough Athlete ESPY Award
Q23055149,New Zealand NBL Most Outstanding Guard Award,New Zealand NBL Most Outstanding Guard Award
Q4894169,Catalan of the year Award,Catalan of the Year Award
Q55316905,VH1 Trailblazer Honors,VH1 Trailblazer Honors
Q21528788,Julius Erving Award,Julius Erving Award
Q25000687,2018 NBA All-Star Game,2018 NBA All-Star Game
Q289678,National Football League Most Valuable Player Award,National Football League Most Valuable Player Award
Q290922,Naismith Memorial Basketball Hall of Fame,Naismith Memorial Basketball Hall of Fame
Q388970,NBA Executive of the Year Award,NBA Executive of the Year Award
Q505825,WNBA Coach of the Year Award,WNBA Coach of the Year Award
